basin,area_km2,Temperate-or-sub-polar-needleleaf-forest,Sub-polar-taiga-needleleaf-forest,Tropical-or-sub-tropical-broadleaf-evergreen-forest,Tropical-or-sub-tropical-broadleaf-deciduous-forest,Temperate-or-sub-polar-broadleaf-deciduous-forest,Mixed-Forest,Tropical-or-sub-tropical-shrubland,Temperate-or-sub-polar-shrubland,Tropical-or-sub-tropical-grassland,Temperate-or-sub-polar-grassland,Sub-polar-or-polar-shrubland-lichen-moss,Sub-polar-or-polar-grassland-lichen-moss,Sub-polar-or-polar-barren-lichen-moss,Wetland,Cropland,Barren-Lands,Urban-and-Built-up,Water,Snow-and-Ice,BD,CLAY,GRAV,OC,SAND,SILT,mean_elev,mean_slope,std_elev,std_slope
03005702102,305.93204655841674,0.018151489922539916,0.0,0.0,0.0,0.14006948755137283,0.11179788007072315,0.0,0.0030595704245448153,0.0,0.00010296631236448897,0.0,0.0,0.0,0.01854864569880294,0.6579400265358897,0.002150524981098327,0.0439048355922181,0.0042745729104457855,0.0,148.1929292929293,11.08131313131313,0.006060606060606061,178.00656565656567,56.43636363636364,32.394444444444446,440.36933580376206,2.190047098927879,97.0892105927506,2.2590320653056475
08012305302,272.73022855253026,0.04518605050225056,0.0,0.0,0.0,0.19095750999881203,0.11594662020354017,0.0,0.007824152905925369,0.0,0.00014519727029131853,0.0,0.0,0.0,0.013021555194762339,0.5679919217518711,0.0022736572552436015,0.043866075317784026,0.012787259599519528,0.0,152.59598214285714,11.427455357142858,0.58203125,150.45535714285714,60.770089285714285,29.010044642857142,414.0384224435861,1.7346273060175408,29.254173762998356,1.3095728867159122
09000800602,128.89338736132999,0.007925479543883415,0.0,0.0,0.0,0.18170645699641783,0.11669657633249307,0.0,0.0153970769993506,0.0,0.0011940590326026995,0.0,0.0,0.0,0.01441948480891564,0.5789021639701415,0.013714221871530421,0.061888568455893134,0.008155911988771655,0.0,149.48645320197045,18.149014778325125,0.0,187.0369458128079,44.149014778325125,39.49630541871921,268.6587332426656,1.280357927909077,21.02832410805073,1.0642978729033232
14002801202,765.1802363608513,0.32846352169596943,0.0,0.0,0.0,0.1921609401978819,0.3001644311247654,0.0,0.03752275924366388,0.0,0.00465652949174551,0.0,0.0,0.0,0.014572973074697368,0.0,0.005174052345084238,0.014734110872214198,0.10255068195397811,0.0,154.61584425597533,1.9026599845797996,1.937355435620663,20.083269082498074,88.59984579799537,7.990555127216654,413.3877648472339,3.3361050612123724,28.589402849797455,2.4841618023129683
03007702102,57.091415014675114,0.0752194952790782,0.0,0.0,0.0,0.16932267776359136,0.09084030831796472,0.0,0.013083022020459955,0.0,0.0028057565296890023,0.0,0.0,0.0,0.007203543449819517,0.522532746961744,0.027836887817026843,0.08373134093094371,0.007424220929682698,0.0,142.8909574468085,14.061170212765957,0.8936170212765957,231.6090425531915,62.273936170212764,22.659574468085108,277.8841081081081,1.8073699556001135,27.10581021566727,1.2086188554163728
03005702502,2732.3299675975304,0.022877504851925683,0.0,0.0,0.0,0.14329320914863033,0.1061547319615746,0.0,0.005200091702383603,0.0,0.001416709597260523,0.0,0.0,0.0,0.016030459421036473,0.6286086403145287,0.007750564246347386,0.06413830722143095,0.004529781534881821,0.0,144.642994133574,13.947484205776174,0.06475631768953069,165.567238267148,58.98240072202166,27.580945397111915,308.8218818035172,1.7878907729625684,105.39030924042832,1.6837416870643953
17002101802,163.56195766890275,0.019309502322202902,0.0,0.0,0.0,0.34059893024586735,0.41662631242983866,0.0,0.01843454909643195,0.0,0.016976293720147036,0.0,0.0,0.0,0.02635315093218287,0.004352754726948559,0.026320133829323588,0.007428848143338249,0.12359952455371882,0.0,149.29059040590406,1.9640221402214022,0.8496309963099631,319.3440959409594,87.46586715867159,9.107933579335793,300.03729080085367,2.4626791673734783,26.65162549313969,1.7288531214486305
03007300202,58.5855699179128,0.017036900482379328,0.0,0.0,0.0,0.22633422435247488,0.15290195716963162,0.0,0.0017513134851138354,0.0,0.0018434878790671951,0.0,0.0,0.0,0.0028881310105386055,0.5487602544013274,0.0004608719697667988,0.04662488094140781,0.001397978308292623,0.0,145.18939393939394,10.366161616161616,0.0,162.38636363636363,66.25757575757575,24.674242424242426,257.57686278608,2.254199459255738,27.168766756608903,1.5221594378791519
16008701002,396.2056142712818,0.0004679148940036479,0.0,0.0,0.0,0.0560952729238548,0.040783553018618926,0.0,0.0006042007854610211,0.0,0.0003180004134005374,0.0,0.0,0.0,0.0019398025217432782,0.7948125046848276,0.007284480898396596,0.09442340846471672,0.0032708613949769564,0.0,152.66162420382165,33.17675159235669,0.0,36.63574840764331,21.009952229299362,47.11982484076433,248.63431564534875,1.1036919244452812,20.020066669801054,1.0246951962219104
08012305902,257.008357443183,0.029408159906431766,0.0,0.0,0.0,0.23934488228681886,0.08715993094440184,0.0,0.007840541799297537,0.0,0.000269638998903935,0.0,0.0,0.0,0.014458953590575942,0.5602363018135849,0.0022936823932737326,0.04253642752839089,0.016451480738320604,0.0,149.47374701670645,20.43675417661098,2.3490453460620526,169.06682577565633,39.27684964200478,39.06801909307876,346.20247587577524,1.6041153180742433,57.51958444509866,1.1361648577855212
17002113702,35.07574158891879,0.025429165276744246,0.0,0.0,0.0,0.13599856303405097,0.06622873418695953,0.0,0.012573452054091504,0.0,0.002463370198352621,0.0,0.0,0.0,0.003412794128967694,0.6848169151420287,0.00390033614739165,0.0647917682379205,0.0003849015934925971,0.0,147.875,12.258928571428571,0.0,205.70089285714286,62.535714285714285,28.602678571428573,299.94123875066174,1.5633747120495824,17.454073606478786,1.0687264689607066
13000800102,26.03427724107023,0.00975070018325784,0.0,0.0,0.0,0.34763666539884513,0.12343971508592372,0.0,0.05587635282320805,0.0,0.060613395110819125,0.0,0.0,0.0,0.08495556861795926,0.05397462051796273,0.00031119255904014383,0.2483316621140348,0.015110127588949206,0.0,144.11666666666667,21.15,9.272222222222222,33.18888888888889,53.32222222222222,24.727777777777778,264.4121667805878,1.9306931207387261,62.472583898536264,1.5415487870340752
