,hydat_id,pwqmn_id,hydat_dist_from_net_hyRivers,pwqmn_dist_from_net_hyRivers,dist_hyRivers,pos_hyRivers,hydat_dist_from_net_OHN,pwqmn_dist_from_net_OHN,dist_OHN,pos_OHN,error
0,04EA001,19004000102,15.416452351300991,31.210434086794876,250.58408177758247,On-Up,77.94083699630745,36.872493601589696,249.5906942148388,On-Up,0.003980066507962796
1,04CE002,19000800202,408.2856652111589,109.6452013419613,999.6051126847441,On-Up,425.1823688855998,0.341614869301753,999.6051126847441,Up,0.0
2,04DB001,19001800202,617.637662040868,82.78978382607369,14517.155239512831,On-Down,,,,,
3,04CB001,19000800102,13.889328916566447,55.411736654345574,6480.447390704532,Up,70.02937859577332,19.562712603548626,6859.560604335714,Up,-0.05526785686411985
4,04CB001,19000800502,13.889328916566447,110.5413740996037,7229.797262878592,Up,70.02937859577332,10.803491865069502,7674.264688683472,Up,-0.057916614012583495
5,04FC001,19004300102,190.14387402601926,48.67402524085109,509.9170060576782,On-Down,248.5130661990897,139.27713986095887,531.379536427505,On-Down,-0.040390208689857696
6,04FC003,19004400102,344.08473465147785,277.3029186061495,1119.631629996858,On-Down,45.19576529925788,43.349802828958055,1174.3174368449845,Down,-0.04656816388169265
7,04DA001,19001800302,73.9005847958661,129.8560621708327,1308.3256927054972,Up,,,,,
8,04FB001,19004300402,40.065030468237296,84.22052369297097,620.877085424444,On-Up,110.67118713563899,60.131667100638865,620.4421090027678,On-Up,0.0007010749518199715
9,04FA001,19004300202,36.83744098565128,99.9525728937939,64.65170879473143,On-Down,17.81274318640429,46.642990123467904,64.65170879473143,On-Down,0.0
10,04KA001,19006403802,183.37368505654044,20.607251235960227,2694.7331323791877,On-Down,70.03500849762052,0.7361674782707142,2531.9830602577413,Down,0.06427770970350782
11,04JF001,19005300202,58.62215561296593,60.85708882832583,1528.7104390628074,Down,153.0035704699478,1.6348636539060657,1868.0317722108978,Down,-0.18164644638056057
12,05QE007,19000100702,200.71903870024215,226.39550669738657,82.03103729550746,On-Down,40.948173192062185,1.0750794253998046,82.03103729550746,On-Down,0.0
13,04JG001,19005301002,229.00021190113068,188.42093057206102,68.38138478271243,On-Down,172.6163607862683,118.97230585482383,68.38138478271243,On-Down,0.0
14,05QD006,19000103602,62.389609376423664,58.22463339738952,101.15702734911825,On-Down,62.325907130568936,3.99637847025411,116.78086672349986,On-Down,-0.13378766413314871
15,05QD002,19000103602,0.011677239105516966,58.22463339738952,480.8571810024589,On-Up,235.94425354667868,3.99637847025411,1406.261578151732,Up,-0.6580599310446525
16,05QD010,19000100602,251.92980810146082,61.85739651636972,3394.3094473030947,Up,211.61084710482584,5.842926648620693,3759.547361184138,Up,-0.09714943816162087
17,05QD010,19000100502,251.92980810146082,101.39712040010136,4580.16368123676,Up,211.61084710482584,2.0637257267195834,5245.998061173408,Up,-0.12692234579051995
18,05PE020,19000100202,390.06184946147033,388.24818967425887,34.44285796045028,On-Down,,,,,
19,05PE020,19000100102,390.06184946147033,594.6142223022157,3838.3358187695603,Up,132.34996534636002,16.459631079800797,2246.141518404865,On-Up,0.7088575173551035
20,05PE011,19000100202,403.2556895427483,388.24818967425887,1662.3035080490451,Down,,,,,
21,05PE011,19000100102,403.2556895427483,594.6142223022157,2260.9168433448294,Up,,,,,
22,05PE005,19000100202,392.3326046742522,388.24818967425887,4944.247172367093,Down,,,,,
23,05PE003,19000100202,420.5782899185361,388.24818967425887,4764.353914964235,Down,,,,,
24,05PE004,19000100202,541.0095738284876,388.24818967425887,4043.9318555923346,Down,,,,,
25,05PE008,19000100202,231.29257474394018,388.24818967425887,3644.659230473685,Down,,,,,
26,05PE028,19000100202,0.3132852154639832,388.24818967425887,1280.4423320339622,Down,,,,,
27,05QD016,19000100502,110.52599334844105,101.39712040010136,29.20526846519286,On-Up,1.5185226200444342,2.0637257267195834,30.500484885189508,On-Up,-0.042465437020825295
28,05QD016,19000100602,110.52599334844105,61.85739651636972,1181.6349260930947,On-Down,1.5185226200444342,5.842926648620693,1455.95021510408,Down,-0.18840980011900718
29,04LK001,19006400802,173.839434721582,94.35077422520435,2485.3701493039903,On-Down,31.827994903179373,11.462407321280272,2141.7728641976,Down,0.1604265750351247
30,04LK001,19006402502,173.839434721582,51.429415209640986,5818.447769068072,Up,31.827994903179373,0.24618859321773967,5939.773671402171,Up,-0.020426014364526797
31,04LJ001,19006401302,18.83549066962805,270.89172447804293,440.0634453808189,On-Down,113.3286273930539,1.0261254475063977,440.0634453808189,On-Down,0.0
32,04LF001,19006401002,285.3249305939052,120.26745129241739,3716.2280231637596,On-Down,54.15988873503555,8.820496079939034,4278.9852014671005,Down,-0.13151650492046407
33,04LF001,19006401702,285.3249305939052,140.0737942998149,3726.0333308859836,Up,,,,,
34,04LF001,19006403402,285.3249305939052,151.65787190593934,1122.5184642701734,Up,,,,,
35,04LF001,19006400902,285.3249305939052,139.8386210280152,1649.5907332560528,Up,,,,,
36,04LF001,19006404002,285.3249305939052,60.65021392199707,9118.382777216108,Up,,,,,
37,02AD008,1009000102,135.64536308316318,54.66301384488507,18759.190207229574,On-Down,,,,,
38,04LD001,19006401602,115.78555989608455,53.31635475848865,277.1574102130559,On-Down,78.85224035908186,5.7512953317783255,277.1574102130559,On-Down,0.0
39,04LB001,19006401102,152.20663885085875,37.52496608005558,931.202760590392,Down,160.39214531261388,15.13691792234233,931.2138163213311,On-Down,-1.1872387141756867e-05
