,distance,drainage_delta
294,623568.892,122.75
295,189289.7875,128.63
296,3029576.143,16
297,638217.0073,434
298,3446623.222,96.09999847
299,1343274.111,211870
300,354229.6254,
301,528929.8962,4270
302,750955.5821,
303,908200.7307,2420
304,2526139.292,2050
305,653053.868,1980
306,1680169.71,124.5999999
307,195555.2165,128.73
308,1333746.133,1190
309,3196396.794,115.3000002
310,98961.8125,109.5
311,0,0
312,569015.0269,1879.5
313,52287.10167,184.5
314,124169.3594,3.299999237
315,1822244.085,26379.5
316,474885.0012,353.5
317,145186.8622,7.5
318,536076.6528,0.899999619
319,1300006.752,439.5
320,160401.3746,1639.5
321,191972.0485,20.16
322,618804.9984,
323,1349996.402,5399.5
324,105182.6061,19.90000153
325,158995.8465,13979.5
326,286528.7428,346.5
327,552764.6518,5529.5
328,1521753.671,168.5
329,3225054.497,11079.5
330,628397.1283,918.5
331,1114606.201,3869.5
332,3237041.393,
333,1102570.007,15501.5
334,203749.6578,
335,3957907.948,15979.5
336,4263409.226,56.69999695
337,3500171.146,18.41000009
338,81182.65138,494.5
339,3017330.488,17.32999992
340,395588.463,298.5
341,1823076.697,147.5
342,2976565.022,158.5
343,223880.7025,
344,3172476.402,1759.5
345,216953.1043,246.5
346,3031083.422,274.5
347,673706.8835,
348,1076116.171,569.5
349,1811073.102,13.25
350,181420.6066,8.600000381
351,830243.2844,3469.5
352,98851.88631,6.300000191
353,1034229.372,366.5
354,145827.7152,70.19999695
355,3201803.144,184.5
356,553977.2125,201.5
357,382580.8477,107.5
358,3252275.573,
359,3798299.768,1889.5
360,3493222.298,116.5
361,199259.4729,
362,4317971.723,
363,4181381.334,
364,2882705.484,4539.5
365,709375.0705,
366,3031513.577,307.5
367,3386155.879,112.5
368,1761427.255,19579.5
369,47028.3757,
370,1612630.479,4489.5
371,268104.6363,3.100000381
372,184829.9873,15.90000153
373,4219710.107,603.5
374,720585.277,151.5
375,3747081.981,1118.5
376,902657.8019,4209.5
377,1440264.146,1679.5
378,3809164.007,2129.5
379,305824.5606,464.5
380,669147.5965,5059.5
381,940930.9761,
382,3814042.285,1059.5
383,250401.1372,362.5
384,63262.98445,12.09999847
385,401607.8583,
386,578701.2513,4369.5
387,371253.6786,19.98000002
388,3374311.997,388.5
389,967806.59,551.5
390,1907026.471,5789.5
391,3062581.632,23.70000076
392,97994.64521,
393,1424313.914,4999.5
394,298899.2062,17.6500001
395,2249531.889,1479.5
396,75791.46549,251.5
397,3199178.149,1029.5
398,148986.5774,23.5
399,1025991.67,3759.5
400,3062963.837,5179.5
401,3075256.441,753.5
402,600233.3482,4329.5
403,1153101.719,2289.5
404,4122173.65,55.59999847
405,909755.7381,
406,315017.8728,43.20000076
407,312128.3016,49.40000153
408,3810994.005,
409,3461752.306,51.80000305
410,370479.2053,14.53999996
411,736714.4503,332.5
412,3032342.745,8
413,2839691.867,44.30000305
414,2416514.67,3619.5
415,160918.0992,58.80000305
416,2776508.939,
417,3338664.532,2049.5
418,559472.3282,380.5
419,911628.3023,
420,295588.2425,6869.5
421,283986.2901,1559.5
422,177307.109,164.5
423,308301.7234,16.79999924
424,4063453.472,1529.5
425,434722.489,
426,595014.8411,32.90000153
427,4088283.735,126.5
428,4107043.746,20.59999847
429,293224.9232,217.5
430,1450445.701,4459.5
431,1702610.335,48079.5
432,536411.8217,
433,3358672.076,25579.5
434,3030875.497,155.5
435,391421.5249,0.299999237
436,2748276.601,13279.5
437,2720737.689,18.41000009
438,628739.318,209.5
439,1275753.147,775.5
440,625279.0182,774.5
441,183181.5827,23.79999924
442,2915754.084,592568.5
443,184014.1865,
444,3736353.526,270.5
445,484711.1814,218.5
446,297380.0898,12.69999981
447,1283395.51,1379.5
448,435353.7525,
449,594276.9891,1219.5
450,3366139.789,32.29999924
451,256378.7538,
452,964766.0103,7669.5
453,101891.279,285.5
454,3035201.874,
455,644910.3738,8.5
456,3041214.762,479.5
457,259190.5341,616.5
458,1355690.053,728.5
459,446606.198,154.5
460,380034.3004,1809.5
461,867687.3551,40.90000153
462,3027355.795,1709.5
463,146834.6302,8.5
464,4420241.912,357.5
465,3419889.389,295.5
466,3920376.3,130.5
467,424944.8331,33.40000153
468,562545.9512,335.5
469,134209.4128,13.01000023
470,3572096.559,38.09999847
471,701736.0014,766.5
472,3294438.206,3399.5
473,414591.6342,218.5
474,2997656.368,36979.5
475,79704.56228,209.5
476,3743462.577,12.73000002
477,1512046.004,1689.5
478,1234669.746,20679.5
479,206717.1341,204.5
480,3510326.978,41.40000153
481,76487.96504,70.19999695
482,741381.0422,19.40000153
483,1470348.437,
484,23289.60548,4.699999809
485,3053280.475,676.5
486,3339917.187,120.5
487,3462861.561,
488,994928.1861,567.5
489,1395717.907,812.5
490,444876.2761,98.5
491,3494215.471,62.40000153
492,1745301.973,2019.5
493,2681061.608,9019.5
494,1262313.959,15479.5
495,105441.2727,161.5
496,134312.1176,1209.5
497,167320.1176,6.700000763
498,885056.3321,162.5
499,70223.62207,122.5
500,2923079.54,143.5
501,2401227.676,4139.5
502,499100.6503,792.7000122
503,256383.9142,
504,1825323.079,6469.5
505,2944687.372,1829.5
506,3326701.08,25679.5
507,354722.44,1169.5
508,415936.6524,82.5
509,512997.4876,260.5
510,1145893.831,44079.5
511,709916.6122,
512,3536822.945,2.399999619
513,3195510.658,911.5
514,295699.9098,
515,344549.6602,19979.5
516,187235.6302,19.95999998
517,1187143.834,1189.5
518,2998810.166,1989.5
519,2762960.623,11279.5
520,3298596.134,290.5
521,2943346.624,1619.5
522,246377.1722,
523,170513.1911,935.5
524,189533.143,
525,595484.5846,1689.5
526,2776084.273,217.5
527,1809120.401,19.52999997
528,3492832.721,40.90000153
529,155057.1023,4689.5
530,265494.604,225.5
531,1485904.887,865.5
532,3561765.933,18879.5
533,4031998.096,77.90000153
534,1599613.608,18379.5
535,571852.0008,
536,626546.035,277.5
537,29504.79011,4.200000763
538,876651.0182,2419.5
539,918578.1629,20279.5
540,161378.6194,367.5
541,246975.4018,1969.5
542,117661.7885,274.5
543,3441461.191,364.5
544,2819099.908,614.5
545,432205.3848,1609.5
546,3399762.308,2129.5
547,265758.8872,33.90000153
548,3996010.076,127.5
549,65251.1328,784.5
550,3255893.243,2219.5
551,211296.052,59.5
552,3015013.971,147.5
553,2802273.115,3399.5
554,3105447.285,236.5
555,575279.1022,2.399999619
556,727501.7763,14479.5
557,152814.2901,147.5
558,3693440.371,753.5
559,1811014.163,20.38
560,311430.5338,158.5
561,950845.2822,95.5
562,3927830.491,1189.5
563,572779.0721,5979.5
564,252333.6597,
565,72577.31729,5.199999809
566,151926.7824,
567,261840.1621,
568,412824.6499,
569,466330.0944,
570,3271549.242,4459.5
571,161980.9292,
572,405615.2416,59.30000305
573,1809493.182,19.95999998
574,616200.1708,294.5
575,459004.937,147.5
576,3112182.267,6869.5
577,43222.1731,10.60000038
578,160368.0581,730.5
579,2952462.593,766.5
580,3334921.466,190.5
581,3642421.551,14679.5
582,82861.00294,564.5
583,492199.3178,104.5
584,495504.3754,
585,2879824.127,13879.5
586,1341924.238,3609.5
587,2840439.143,133.5
588,1151000.735,73.90000153
589,4204501.599,16.5
590,711962.757,
591,3018930.337,210.5
592,789151.4523,12379.5
593,1339210.735,9039.5
594,524063.161,2439.5
595,2998323.593,3059.5
596,3164674.931,15579.5
597,2930778.293,3659.5
598,1319245.889,414.5
599,251663.8367,
600,85296.0026,114.5
601,4075691.011,3.5
602,1209134.74,209697
603,188143.97,
604,615061.0249,13.25
605,181314.781,19.13
606,2961516.431,93.5
607,560068.2597,543.5
608,3368184.592,13.40000153
609,1247466.323,211979.5
610,267298.8778,
611,430020.9326,4379.5
612,695010.5005,
613,826860.1731,2529.5
614,2444830.312,2159.5
615,555479.3795,2089.5
616,1605748.881,15.0999999
617,203163.6279,19.23000002
618,1253396.75,1299.5
619,3124262.549,5.800000191
620,664197.0108,1770
621,569015.0269,1879.5
622,0,0
623,618262.1956,1695
624,629659.9722,1876.200001
625,1559943.396,24500
626,678996.129,1526
627,642741.0487,1887
628,959119.247,1880.4
629,1166540.313,1440
630,628874.0956,240
631,680641.4088,1899.66
632,883581.4402,
633,1195231.295,3520
634,674116.3587,1859.599998
635,418603.1391,12100
636,510328.4017,1533
637,362849.6703,3650
638,1325741.606,1711
639,2876024.506,9200
640,577738.848,961
641,1017303.613,1990
642,2709529.107,
643,683991.5619,13622
644,628087.0709,
645,3548384.061,14100
646,3851998.549,1822.800003
647,3077327.359,1897.91
648,556876.659,1385
649,2824311.416,1896.83
650,894332.7173,1581
651,1628316.217,1732
652,2754325.173,1721
653,548032.4002,
654,2881132.695,120
655,613302.2163,1633
656,2839611.109,1605
657,825666.3542,
658,962385.8357,1310
659,1583871.604,1892.75
660,607461.8751,1888.1
661,841179.5518,1590
662,634262.0296,1885.8
663,992108.0316,1513
664,629738.5552,1809.300003
665,2953546.398,1695
666,450036.8821,1678
667,857415.4883,1772
668,2716881.9,
669,3426748.269,10
670,3171905.795,1763
671,640421.9696,
672,3898352.204,
673,3731271.246,
674,2437835.053,2660
675,769121.5803,
676,2807056.038,1572
677,3102127.405,1767
678,1195131.356,17700
679,604178.2576,
680,1433387.159,2610
681,695783.342,1882.6
682,609866.3161,1863.599998
683,3790853.445,1276
684,806835.0504,1728
685,3379477.028,761
686,841707.0513,2330
687,1247740.049,200
688,3438157.96,250
689,447912.3261,1415
690,579602.9948,3180
691,911810.2593,
692,3482611.06,820
693,798427.6907,1517
694,616195.0476,1867.400002
695,940638.8225,
696,737836.4776,2490
697,582936.3549,1899.48
698,3091989.179,1491
699,796918.5758,1328
700,1366679.13,3910
701,2867341.862,1855.799999
702,649644.3948,
703,1134272.828,3120
704,803977.8608,1897.15
705,1887621.895,400
706,508179.665,1628
707,2891227.475,850
708,696677.98,1856
709,895871.4235,1880
710,2857842.135,3300
711,2857864.3,1126
712,553925.0724,2450
713,1026862.272,410
714,3778203.216,1823.900002
715,911235.0704,
716,855477.8628,1836.299999
717,830660.4357,1830.099998
718,3452120.343,
719,3140102.978,1827.699997
720,581252.9114,1894.04
721,851107.4202,1547
722,2815362.695,1887.5
723,2581832.198,1835.199997
724,1933065.132,1740
725,630629.6696,1820.699997
726,2530737.729,
727,3049615.105,170
728,319789.1848,1499
729,831731.3415,
730,376636.8394,4990
731,291678.2334,320
732,744406.9503,1715
733,541498.9826,1862.700001
734,3734138.365,350
735,700135.2038,
736,719386.6517,1846.599998
737,3723237.957,1753
738,3755501.873,1858.900002
739,280086.2876,1662
740,1295557.513,2580
741,1204618.506,46200
742,623407.7748,
743,3008616.757,23700
744,2808518.381,1724
745,920677.7523,1879.200001
746,2447493.308,11400
747,2478306.737,1897.91
748,235296.5617,1670
749,1055496.658,1104
750,676530.4736,1105
751,663549.2832,1855.700001
752,2751975.803,590689
753,725213.9214,
754,3353763.1,1609
755,716165.3721,1661
756,537799.7426,1892.2
757,845028.2478,500
758,921417.6494,
759,217792.4466,660
760,3056334.291,1847.200001
761,618406.4327,
762,813908.9484,5790
763,653499.8536,1594
764,2795353.762,
765,712551.995,1871
766,2829253.561,1400
767,598057.2989,1263
768,1157317.471,1151
769,699002.6287,1725
770,624521.3917,70
771,705243.2652,1838.599998
772,2783171.497,170
773,644746.7192,1871
774,3998621.194,1522
775,3115780.776,1584
776,3512288.344,1749
777,706942.9467,1846.099998
778,730167.6666,1544
779,452532.3255,1892.51
780,3224057.424,1841.400002
781,760721.9705,1113
782,2945245.891,1520
783,295693.3166,1661
784,2588253.081,35100
785,586625.6121,1670
786,3400544.35,1892.23
787,1256630.168,190
788,692527.9321,18800
789,514014.5217,1675
790,3184599.015,1838.099998
791,643605.4341,1809.300003
792,760240.6599,1860.099998
793,1099790.086,
794,591947.6895,1884.2
795,2860329.443,1203
796,3050823.966,1759
797,3019489.39,
798,784378.9127,1312
799,1204689.339,1067
800,685398.7912,1781
801,3164482.656,1817.099998
802,1235428.77,140
803,2445946.175,7140
804,1142537.599,13600
805,674445.7581,1718
806,678621.0793,670
807,643869.0386,1872.799999
808,323342.0386,1717
809,633057.4715,1757
810,2657539.775,1736
811,2136375.13,2260
812,645589.1269,1086.799988
813,625703.9601,
814,1585609.956,4590
815,2693206.985,50
816,2997262.042,23800
817,484510.9709,710
818,370964.1426,1797
819,367310.0495,1619
820,978333.6927,42200
821,781304.7256,
822,3232315.622,1877.1
823,2887264.415,968
824,814245.4016,
