,distance,drainage_delta
25951,1957448.103,4134
25952,3942908.677,13880
25953,4453686.832,4921.599998
25954,2290289.608,13380
25955,946469.2552,
25956,832263.5411,4722
25957,1394853.035,4995.299999
25958,872367.0535,2580
25959,558200.1011,15280
25960,1537929.584,4632
25961,1207703.292,3030
25962,1308322.301,4725
25963,3967907.177,4635
25964,3497043.777,4385
25965,1737371.755,3390
25966,3841189.168,2870
25967,1524156.421,4965.599998
25968,4462997.452,4872
25969,1374789.99,4215
25970,3778817.161,2780
25971,1625432.232,4940
25972,3736181.491,4852
25973,3429564.958,1600
25974,3841935.416,4763
25975,860907.1117,4997.1
25976,1441894.837,9480
25977,1550909.624,4852
25978,4048256.475,4246
25979,2606211.059,5019.88
25980,1473744.736,4841
25981,1668293.43,4904
25982,4373195.424,3810
25983,1075525.56,980
25984,1206660.225,
25985,1486279.659,5004.7
25986,1392737.339,
25987,1515636.09,
25988,1559297.244,
25989,1781889.007,
25990,3713177.337,540
25991,1562938.863,
25992,1733139.829,4940.199997
25993,2605608.687,5019.46
25994,1805558.695,4705
25995,1794701.044,4852
25996,3357190.315,1870
25997,1399838.185,4988.9
25998,1518599.808,4269
25999,3624828.119,4233
26000,3850048.217,4809
26001,4087738.893,9680
26002,1344024.002,4435
26003,957914.0912,4895
26004,1754438.101,
26005,3575142.796,8880
26006,873081.0845,1390
26007,3164545.18,4866
26008,2185647.042,4925.599998
26009,4541990.146,4983
26010,1861594.001,
26011,3751406.06,4789
26012,712477.1722,7380
26013,2149886.96,4040
26014,1660717.001,2560
26015,3805308.779,1940
26016,3753111.748,10580
26017,3488609.409,1340
26018,2110236.098,4585
26019,1198600.254,
26020,1352427.042,4885
26021,4457692.804,4996
26022,1715988.401,204697.5
26023,1608860.124,
26024,894999.8628,5012.75
26025,1601543.375,5018.63
26026,3760212.626,4906
26027,1675407.785,4456
26028,3964954.707,4986.099998
26029,1742945.892,206980
26030,1491234.039,
26031,1294877.088,620
26032,1909488.183,
26033,1797394.102,2470
26034,3064843.893,2840
26035,1402841.811,2910
26036,2460911.076,5014.6
26037,1626712.823,5018.73
26038,2099719.78,3700
26039,3849646.527,5005.3
26040,218285.3635,127.1500001
26041,298899.2062,17.6500001
26042,803977.8608,1897.15
26043,282780.3127,202.1500001
26044,365398.9503,20.94999933
26045,2118905.779,26397.15
26046,741955.2746,371.1500001
26047,168236.8967,10.1500001
26048,253632.4659,16.75000048
26049,1588122.124,457.1500001
26050,407490.9243,1657.15
26051,403677.3711,2.509999901
26052,421718.2934,
26053,1640033.754,5417.15
26054,243480.8739,37.55000162
26055,443218.5359,13997.15
26056,579146.7468,364.1500001
26057,653490.6443,5547.15
26058,1814549.127,186.1500001
26059,3523877.851,11097.15
26060,923745.3885,936.1500001
26061,1401225.009,3887.15
26062,3506730.376,
26063,1393046.951,15519.15
26064,456378.8355,
26065,4255445.007,15997.15
26066,4560917.693,74.34999704
26067,3796441.697,0.75999999
26068,262231.2409,512.1500001
26069,3302458.832,0.320000172
26070,97378.50475,316.1500001
26071,2113661.07,165.1500001
26072,3266000.178,176.1500001
26073,269627.6673,
26074,3468735.023,1777.15
26075,200319.7501,264.1500001
26076,3315928.391,292.1500001
26077,535679.2122,
26078,1365564.839,587.1500001
26079,2105081.716,4.400000095
26080,443410.0892,9.049999714
26081,1109291.036,3487.15
26082,200758.6723,11.3499999
26083,1314640.484,384.1500001
26084,178133.5626,87.84999704
26085,3493957.021,202.1500001
26086,852868.3959,219.1500001
26087,90406.7804,125.1500001
26088,3517418.745,
26089,4097171.443,1907.15
26090,3791087.642,134.1500001
26091,443938.0489,
26092,4614883.208,
26093,4474733.669,
26094,3175867.098,4557.15
26095,986202.9212,
26096,3321105.894,325.1500001
26097,3681609.243,130.1500001
26098,1962160.869,19597.15
26099,251977.8018,
26100,1902912.214,4507.15
26101,490917.4022,14.54999971
26102,195498.1902,33.55000162
26103,4515738.093,621.1500001
26104,991246.0797,169.1500001
26105,4045975.8,1136.15
26106,1189843.125,4227.15
26107,1388859.513,1697.15
26108,4108040.784,2147.15
26109,604195.6703,482.1500001
26110,674684.0689,5077.15
26111,853038.9042,
26112,4112226.885,1077.15
26113,100227.9409,380.1500001
26114,306124.8614,29.74999857
26115,148054.2249,
26116,844613.787,4387.15
26117,652470.4235,2.329999924
26118,3669632.754,406.1500001
26119,1264076.061,569.1500001
26120,2064004.665,5807.15
26121,3347920.566,41.35000086
26122,202835.8961,
26123,1426558.144,5017.15
26124,0,0
26125,2262251.746,1497.15
26126,373270.3142,269.1500001
26127,3496513.18,1047.15
26128,156268.5044,41.1500001
26129,1318137.297,3777.15
26130,3349792.193,5197.15
26131,3363796.744,771.1500001
26132,606446.2309,4347.15
26133,1442618.696,2307.15
26134,4420720.603,73.24999857
26135,810146.7791,
26136,87882.00115,60.85000086
26137,34016.38919,67.05000162
26138,4109866.886,
26139,3759649.6,69.45000315
26140,652019.5439,3.110000134
26141,606124.1637,350.1500001
26142,3320933.23,9.650000095
26143,3133527.163,61.95000315
26144,2511618.95,3637.15
26145,406820.431,76.45000315
26146,3069229.245,
26147,3634577.422,2067.15
26148,852733.1327,398.1500001
26149,1200899.104,
26150,443447.7843,6887.15
26151,515796.8791,1577.15
26152,190237.1747,182.1500001
26153,323086.6869,34.44999933
26154,4361459.849,1547.15
26155,689497.3162,
26156,499595.1827,50.55000162
26157,4387180.16,144.1500001
26158,4405782.301,38.24999857
26159,528610.8074,235.1500001
26160,1739348.506,4477.15
26161,1981523.447,48097.15
26162,821367.5708,
26163,3657490.1,25597.15
26164,3320193.142,173.1500001
26165,120733.2243,17.94999933
26166,3045601.102,13297.15
26167,3013224.698,0.75999999
26168,788384.0812,227.1500001
26169,1572248.258,793.1500001
26170,909174.9367,792.1500001
26171,407590.2988,41.44999933
26172,3196379.035,592586.15
26173,122197.8204,
26174,4035034.672,288.1500001
26175,742269.2542,236.1500001
26176,318641.7153,4.950000286
26177,1572781.894,1397.15
26178,136514.095,
26179,758127.0258,1237.15
26180,3663462.338,49.94999933
26181,518786.5696,
26182,938031.6933,7687.15
26183,199319.2271,303.1500001
26184,3326699.039,
26185,924674.854,26.1500001
26186,3329085.496,497.1500001
26187,529683.0685,634.1500001
26188,1650011.745,746.1500001
26189,703661.5241,172.1500001
26190,651580.452,1827.15
26191,1164746.075,58.55000162
26192,3319371.804,1727.15
26193,166155.9729,26.1500001
26194,4717018.687,375.1500001
26195,3716819.166,313.1500001
26196,4217993.654,148.1500001
26197,675616.0485,51.05000162
26198,828064.1942,353.1500001
26199,427217.9036,4.639999866
26200,3870847.3,55.74999857
26201,979203.9909,784.1500001
26202,3593253.385,3417.15
26203,706202.6268,236.1500001
26204,3294733.709,36997.15
26205,237459.3126,227.1500001
26206,4042060.466,4.920000076
26207,1809346.458,1707.15
26208,1492779.205,20697.15
26209,499916.3833,222.1500001
26210,3808388.124,59.05000162
26211,269353.0586,87.84999704
26212,1023506.684,37.05000162
26213,1767696.46,
26214,280509.3885,12.95000029
26215,3338290.689,694.1500001
26216,3635832.278,138.1500001
26217,3756752.178,
26218,1292877.616,585.1500001
26219,1689056.509,830.1500001
26220,706048.2847,116.1500001
26221,3792450.198,80.05000162
26222,1875348.886,2037.15
26223,2972830.803,9037.15
26224,1185848.016,15497.15
26225,240718.6414,179.1500001
26226,166748.6452,1227.15
26227,404284.8426,24.35000086
26228,1127313.154,180.1500001
26229,234734.3605,140.1500001
26230,3217503.607,161.1500001
26231,2696586.984,4157.15
26232,776831.9641,810.3500123
26233,515659.9743,
26234,2120345.496,6487.15
26235,3237668.96,1847.15
26236,3624992.911,25697.15
26237,650559.2071,1187.15
26238,523302.2744,100.1500001
26239,810302.974,278.1500001
26240,1439706.589,44097.15
26241,984431.9457,
26242,3833692.919,20.04999971
26243,3492865.631,929.1500001
26244,26851.43286,
26245,583982.4266,19997.15
26246,425198.6653,2.309999883
26247,1470907.694,1207.15
26248,3296607.594,2007.15
26249,3046781.799,11297.15
26250,3593231.795,308.1500001
26251,3230929.245,1637.15
26252,274493.0176,
26253,424175.0438,953.1500001
26254,423261.3496,
26255,807060.0887,1707.15
26256,3072892.257,235.1500001
26257,2103245.484,1.879999876
26258,3791042.983,58.55000162
26259,315026.4646,4707.15
26260,544123.3399,243.1500001
26261,1780159.141,883.1500001
26262,3860631.99,18897.15
26263,4330698.887,95.55000162
26264,1898230.653,18397.15
26265,485345.5691,
26266,734434.9109,295.1500001
26267,299070.2153,21.85000086
26268,1057448.076,2437.15
26269,996521.5921,20297.15
26270,225680.822,385.1500001
26271,269263.0426,1987.15
26272,291819.1432,292.1500001
26273,3739131.545,382.1500001
26274,3113292.036,632.1500001
26275,698199.7198,1627.15
26276,3698586.963,2147.15
26277,116155.1416,51.55000162
26278,4294187.633,145.1500001
26279,339865.9736,802.1500001
26280,3553888.537,2237.15
26281,432181.4199,77.1500001
26282,3306145.026,165.1500001
26283,3098519.471,3417.15
26284,3395239.309,254.1500001
26285,664009.1444,20.04999971
26286,1014853.427,14497.15
26287,415969.5389,165.1500001
26288,3992221.277,771.1500001
26289,2105085.646,2.729999907
26290,47332.4069,176.1500001
26291,1247091.428,113.1500001
26292,4226352.868,1207.15
26293,789802.771,5997.15
26294,264906.1322,
26295,274272.0939,12.45000029
26296,151075.3052,
26297,109109.7298,
26298,154084.5781,
26299,723956.1986,
26300,3570413.456,4477.15
26301,267032.9979,
26302,665140.1168,76.95000315
26303,2103528.848,2.309999883
26304,898343.8776,312.1500001
26305,707459.4458,165.1500001
26306,3408113.865,6887.15
26307,262197.0842,28.25000048
26308,201468.8958,748.1500001
26309,3246420.777,784.1500001
26310,3632956.164,208.1500001
26311,3941109.561,14697.15
26312,282287.0168,582.1500001
26313,476842.3854,122.1500001
26314,770469.3917,
26315,3172940.697,13897.15
26316,1517861.001,3627.15
26317,3137769.439,151.1500001
26318,1435313.628,91.55000162
26319,4503342.665,34.1500001
26320,995827.6536,
26321,3309353.473,228.1500001
26322,725943.0299,12397.15
26323,1636532.328,9057.15
26324,818693.5684,2457.15
26325,3283417.674,3077.15
26326,3461235.882,15597.15
26327,3228592.935,3677.15
26328,1617255.382,432.1500001
26329,280333.5907,
26330,256465.5261,132.1500001
26331,4374579.755,21.1500001
26332,1500155.915,209714.65
26333,398259.7137,
26334,537125.1261,4.400000095
26335,395790.3945,1.4799999
26336,3247491.382,111.1500001
26337,855153.1445,561.1500001
26338,3664015.725,31.05000162
26339,1538724.456,211997.15
26340,565894.8734,
26341,702314.0541,4397.15
26342,966673.7855,
26343,1124064.969,2547.15
26344,2742317.972,2177.15
26345,843629.0683,2107.15
26346,1898299.355,2.550000191
26347,391910.0037,1.579999924
26348,1550225.365,1317.15
26349,3414681.106,11.8499999
26350,2297871.794,1370
26351,2249531.889,1479.5
26352,1887621.895,400
26353,2297340.033,1295
26354,2365549.798,1476.200001
26355,3106993.742,24900
26356,2553274.682,1126
26357,2203482.476,1487
26358,2180369.096,1480.4
26359,2933063.051,1040
26360,2388781.844,160
26361,2433469.17,1499.66
26362,1924979.811,
26363,2939231.159,3920
26364,2328518.912,1459.599998
26365,2176330.047,12500
26366,2354657.2,1133
26367,1702138.412,4050
26368,3006211.443,1311
26369,4018407.601,9600
26370,2459204.71,561
26371,2830095.682,2390
26372,3052124.07,
26373,2253066.967,14022
26374,2413127.955,
26375,4402977.036,14500
26376,4666849.268,1422.800003
26377,3938595.568,1497.91
26378,2181639.693,985
26379,4327865.519,1496.83
26380,2287893.46,1181
26381,3261945.89,1332
26382,4210485.83,1321
26383,2055687.421,
26384,4176089.73,280
26385,2106291.67,1233
26386,4344628.943,1205
26387,1769424.869,
26388,2772794.327,910
26389,3179985.178,1492.75
26390,2387594.502,1488.1
26391,2715679.26,1990
26392,2239648.743,1485.8
26393,2836533.647,1113
26394,2188200.739,1409.300003
26395,4338612.957,1295
26396,2334341.917,1278
26397,2234319.374,1372
26398,2986857.032,
26399,4433129.96,410
26400,4358348.404,1363
26401,2418246.733,
26402,4674602.978,
26403,4387684.764,
26404,3319401.254,3060
26405,2654643.501,
26406,4254036.395,1172
26407,4391842.836,1367
26408,1447810.677,18100
26409,2251816.916,
26410,3115348.113,3010
26411,2488455.132,1482.6
26412,2133248.955,1463.599998
26413,4538498.151,876
26414,2693479.368,1328
26415,4404136.617,361
26416,2694026.898,2730
26417,927491.7025,200
26418,4445145.432,650
26419,2302467.116,1015
26420,1596113.243,3580
26421,1448925.787,
26422,4609226.006,420
26423,2335407.11,1117
26424,2312788.85,1467.400002
26425,2393765.827,
26426,2622236.77,2890
26427,2445372.376,1499.48
26428,4386806.388,1091
26429,2599551.344,928
26430,1102049.616,4310
26431,4363403.899,1455.799999
26432,2265245.205,
26433,835721.3308,3520
26434,2262251.746,1497.15
26435,0,0
26436,2236216.01,1228
26437,4143924.022,450
26438,2281738.122,1456
26439,2706426.454,2280
26440,4336782.061,3700
26441,4313817.773,726
26442,1666577.038,2850
26443,2819555.623,810
26444,4839905.172,1423.900002
26445,1500048.736,
26446,2349941.937,1436.299999
26447,2295316.54,1430.099998
26448,4497517.301,
26449,4329005.543,1427.699997
26450,2443695.776,1494.04
26451,1705147.131,1147
26452,4275895.37,1487.5
26453,3985128.788,1435.199997
26454,692985.8767,2140
26455,2390057.586,1420.699997
26456,3964238.894,
26457,4332355.033,570
26458,2198052.127,1099
26459,2677470.458,
26460,1957120.701,5390
26461,2026089.653,80
26462,2357385.692,1315
26463,1972797.149,1462.700001
26464,4844321.656,50
26465,2561079.619,
26466,1770758.009,1446.599998
26467,4721615.11,1353
26468,4795225.756,1458.900002
26469,2025816.29,1262
26470,3024003.138,2980
26471,2271143.126,46600
26472,2510075.076,
26473,4131269.835,24100
26474,4259414.54,1324
26475,2359976.578,1479.200001
26476,3773517.652,11800
26477,3924257.053,1497.91
26478,1687154.319,1270
26479,2762098.822,704
26480,2563625.846,705
26481,2420467.254,1455.700001
26482,4310408.051,591089
26483,2285007.482,
26484,4330456.023,1209
26485,2587255.142,1261
26486,1981640.439,1492.2
26487,2289224.005,100
26488,2276292.28,
26489,1719414.911,260
26490,4285931.046,1447.200001
26491,2432422.676,
26492,1325504.661,6190
26493,2266986.677,1194
26494,4212991.776,
26495,2599764.075,1471
26496,4297989.979,1000
26497,2418333.103,863
26498,2865854.02,751
26499,2563478.16,1325
26500,2483324.929,330
26501,2531047.792,1438.599998
26502,4193183.729,230
26503,2204239.368,1471
26504,4756544.171,1122
26505,4353937.348,1184
26506,4376621.207,1349
26507,2563542.865,1446.099998
26508,2613328.205,1144
26509,2209231.521,1492.51
26510,4327700.047,1441.400002
26511,2646408.817,713
26512,4078319.612,1920
26513,2177514.089,1261
26514,3578597.716,35500
26515,2203881.752,1270
26516,4501004.09,1492.23
26517,2876746.838,210
26518,1902667.376,19200
26519,2324666.295,1275
26520,4357467.338,1438.099998
26521,2315402.882,1409.300003
26522,2641036.016,1460.099998
26523,2576966.231,
26524,2263002.91,1484.2
26525,4361040.236,803
26526,4333334.399,1359
26527,3802360.821,
26528,2561739.94,912
26529,2912027.83,667
26530,2551792.876,1381
26531,4328245.204,1417.099998
26532,931842.3426,540
26533,3909510.168,7540
26534,1149671.868,14000
26535,2326812.175,1318
26536,2268195.849,270
26537,2400931.6,1472.799999
26538,1814793.695,1317
26539,2274179.322,1357
26540,4036084.033,1336
26541,3582696.831,2660
26542,2527448.253,686.7999878
26543,2437712.703,
26544,3163035.86,4990
26545,4097459.222,350
26546,4180595.678,24200
26547,2351940.501,310
26548,1834845.722,1397
26549,2253654.879,1219
26550,2748514.516,42600
26551,2667460.897,
26552,4457734.598,1477.1
26553,4139663.413,568
26554,2288121.111,
26555,2527119.427,18500
26556,2415154.811,1499.46
26557,2907708.261,290
26558,3947865.178,510
26559,2980150.068,9800
26560,4346755.769,1189
26561,4219638.068,140
26562,2037810.587,
26563,2118702.851,544
26564,2419885.88,
26565,1809770.121,210
26566,3822657.998,1262
26567,3175657.392,1499.03
26568,4329355.724,1438.599998
26569,2095866.691,3210
26570,2401618.358,1254
26571,2477848.83,614
26572,4228342.02,17400
26573,4736329.079,1401.599998
26574,2851390.758,16900
26575,1781053.811,
26576,1636630.314,1202
26577,2220032.965,1475.299999
26578,1566337.501,940
26579,1344618.539,18800
26580,2369599.188,1112
26581,2040474.085,490
26582,2135291.874,1205
26583,4328027.46,1115
26584,3957170.343,865
26585,2530469.035,130
26586,4163928.992,650
26587,2359593.454,1445.599998
26588,4769534.299,1352
26589,2196760.632,695
26590,4146938.912,740
26591,2444964.894,1420
26592,4204767.01,1332
26593,3869312.264,1920
26594,4313072.188,1243
26595,1676960.487,1477.1
26596,2144895.316,13000
26597,2368670.725,1332
26598,4314008.526,726
26599,3178363.277,1499.88
26600,2309422.251,1321
26601,2326788.061,1384
26602,4671986.998,290
26603,1835656.267,4500
26604,2039794.039,
26605,2313924.243,1484.7
26606,2226139.381,
26607,2351071.26,
26608,2393948.247,
26609,2574978.326,
26610,4043305.306,2980
26611,2393045.257,
26612,2530958.03,1420.199997
26613,3178179.489,1499.46
26614,2569589.488,1185
26615,2591635.435,1332
26616,3607789.06,5390
26617,2227590.746,1468.9
26618,2350966.659,749
26619,4075373.176,713
26620,4210382.081,1289
26621,4399681.808,13200
26622,2170933.713,915
26623,1792690.472,1375
26624,2537111.614,
26625,4039354.316,12400
26626,1328318.082,2130
26627,3472231.228,1346
26628,2878101.321,1405.599998
26629,4775099.691,1463
26630,2611926.573,
26631,4224736.556,1269
26632,1544431.668,10900
26633,2771155.759,7560
26634,2426020.188,960
26635,4312022.749,1580
26636,4155632.285,14100
26637,3890944.109,2180
26638,2729070.802,1065
26639,2031089.118,
26640,2180973.547,1365
26641,4718709.282,1476
26642,2294830.552,208217.5
26643,2430801.208,
26644,1729388.68,1492.75
26645,2423364.347,1498.63
26646,4264907.68,1386
26647,2434783.581,936
26648,4361095.342,1466.099998
26649,2312164.326,210500
26650,2288911.6,
26651,2066748.853,2900
26652,2672319.408,
26653,2508544.498,1050
26654,3525341.056,680
26655,2146657.447,610
26656,3068518.528,1494.6
26657,2450114.999,1498.73
26658,2738771.496,180
26659,4315029.195,1485.3
26660,172850.9074,142
26661,75791.46549,251.5
26662,508179.665,1628
26663,114236.6436,67
26664,133329.9545,248.2000008
26665,1751214.935,26128
26666,426089.4378,102
26667,213596.1042,259
26668,605454.1371,252.3999996
26669,1234629.69,188
26670,152586.1366,1388
26671,198567.6937,271.66
26672,670329.4794,
26673,1283489.868,5148
26674,172008.5045,231.5999985
26675,90126.58866,13728
26676,223479.8732,95
26677,534206.6647,5278
26678,1453482.27,83
26679,3151496.63,10828
26680,559511.7661,667
26681,1050342.822,3618
26682,3163629.382,
26683,1026884.618,15250
26684,182258.6404,
26685,3882653.218,15728
26686,4188146.664,194.8000031
26687,3424619.599,269.9100001
26688,129871.6944,243
26689,2952431.172,268.8299999
26690,470312.6724,47
26691,1755906.654,104
26692,2909604.055,93
26693,257035.7461,
26694,3101552.632,1508
26695,268162.4556,5
26696,2966310.862,23
26697,711423.6743,
26698,1010322.636,318
26699,1741901.817,264.75
26700,156699.1557,260.1000004
26701,770945.5615,3218
26702,172516.2441,257.8000002
26703,973428.3114,115
26704,210984.9848,181.3000031
26705,3133379.675,67
26706,480414.7502,50
26707,455185.4938,144
26708,3179583.838,
26709,3724094.108,1638
26710,3420973.451,135
26711,184224.8957,
26712,4242547.908,
26713,4105601.405,
26714,2806918.61,4288
26715,652012.6077,
26716,2964461.636,56
26717,3315762.108,139
26718,1703096.217,19328
26719,122471.2155,
26720,1545758.818,4238
26721,255846.4566,254.6000004
26722,239143.8035,235.5999985
26723,4144126.706,352
26724,666370.0609,100
26725,3673001.523,867
26726,838582.269,3958
26727,1446727.647,1428
26728,3734979.735,1878
26729,234507.158,213
26730,672614.0954,4808
26731,961600.9455,
26732,3741451.865,808
26733,325871.8632,111
26734,108256.229,239.4000015
26735,477129.4618,
26736,528593.8089,4118
26737,315946.1969,271.48
26738,3304005.552,137
26739,897527.3982,300
26740,1858837.252,5538
26741,2997572.911,227.7999992
26742,173724.6393,
26743,1417284.238,4748
26744,373270.3142,269.1500001
26745,2236216.01,1228
26746,0,0
26747,3127423.116,778
26748,224776.6107,228
26749,958627.017,3508
26750,2997257.004,4928
26751,3008719.667,502
26752,605986.6498,4078
26753,1087142.553,2038
26754,4049122.431,195.9000015
26755,933749.9425,
26756,390678.3169,208.2999992
26757,387521.4049,202.0999985
26758,3737251.796,
26759,3389473.67,199.6999969
26760,314953.4206,266.04
26761,771248.8888,81
26762,2965790.636,259.5
26763,2770369.129,207.1999969
26764,2382280.926,3368
26765,153846.7676,192.6999969
26766,2707842.944,
26767,3267967.769,1798
26768,483705.6847,129
26769,846288.184,
26770,280350.8752,6618
26771,234446.9646,1308
26772,248223.2971,87
26773,333979.2773,234.7000008
26774,3991043.721,1278
26775,393919.8673,
26776,625692.4458,218.5999985
26777,4014377.577,125
26778,4033670.001,230.9000015
26779,241344.9939,34
26780,1384468.868,4208
26781,1628116.28,47828
26782,475732.2996,
26783,3285126.385,25328
26784,2963962.01,96
26785,467209.6396,251.2000008
26786,2676564.764,13028
26787,2652213.906,269.9100001
26788,589958.2216,42
26789,1205058.188,524
26790,564493.3506,523
26791,184624.8361,227.7000008
26792,2852903.2,592317
26793,259764.4053,
26794,3661774.342,19
26795,440921.0953,33
26796,322943.1159,264.1999998
26797,1207767.176,1128
26798,509469.5845,
26799,555123.4623,968
26800,3294384.941,219.2000008
26801,220943.6831,
26802,969896.2142,7418
26803,177641.9442,34
26804,2967160.142,
26805,586423.6508,243
26806,2975012.71,228
26807,217431.4151,365
26808,1286550.559,477
26809,404171.5203,97
26810,331148.0447,1558
26811,796793.6296,210.5999985
26812,2959035.37,1458
26813,215448.7872,243
26814,4344789.289,106
26815,3348448.291,44
26816,3845148.669,121
26817,386709.853,218.0999985
26818,512904.3284,84
26819,60105.8294,264.5100002
26820,3498707.515,213.4000015
26821,644083.2183,515
26822,3220901.709,3148
26823,339047.0514,33
26824,2922262.286,36728
26825,142689.5145,42
26826,3670343.068,264.23
26827,1440558.753,1438
26828,1164322.923,20428
26829,146034.5525,47
26830,3437880.205,210.0999985
26831,139174.4654,181.3000031
26832,680874.5713,232.0999985
26833,1394998.597,
26834,97525.24033,256.1999998
26835,2988425.917,425
26836,3269218.814,131
26837,3387096.18,
26838,922986.9443,316
26839,1327193.91,561
26840,400210.6024,153
26841,3421579.587,189.0999985
26842,1704212.968,1768
26843,2612943.359,8768
26844,1276452.843,15228
26845,173002.4587,90
26846,209935.462,958
26847,164827.0778,244.7999992
26848,819422.8204,89
26849,145600.6667,129
26850,2853388.669,108
26851,2331021.285,3888
26852,443509.124,541.2000122
26853,223184.6731,
26854,1755485.362,6218
26855,2875843.69,1578
26856,3254004.988,25428
26857,286859.444,918
26858,402915.6207,169
26859,437542.5376,9
26860,1077275.659,43828
26861,653787.7596,
26862,3465420.834,249.1000004
26863,3123738.974,660
26864,371003.0971,
26865,316411.2728,19728
26866,179204.8033,271.46
26867,1124253.243,938
26868,2926652.965,1738
26869,2687716.1,11028
26870,3228729.35,39
26871,2877307.677,1368
26872,279308.4591,
26873,123089.2315,684
26874,183750.6708,
26875,541474.7742,1438
26876,2704789.528,34
26877,1739875.967,271.03
26878,3420224.679,210.5999985
26879,168190.8322,4438
26880,216654.3885,26
26881,1410135.638,614
26882,3487540.499,18628
26883,3958698.661,173.5999985
26884,1526582.748,18128
26885,601406.9302,
26886,603211.2208,26
26887,76440.88752,247.2999992
26888,827627.62,2168
26889,897158.6648,20028
26890,227300.908,116
26891,281365.201,1718
26892,142622.0428,23
26893,3369398.233,113
26894,2749565.982,363
26895,385131.8607,1358
26896,3326197.044,1878
26897,340589.5223,217.5999985
26898,3923421.909,124
26899,53055.18309,533
26900,3183525.901,1968
26901,208761.5564,192
26902,2947170.554,104
26903,2731394.795,3148
26904,3038279.444,15
26905,559325.3454,249.1000004
26906,652257.0195,14228
26907,133789.9835,104
26908,3619008.132,502
26909,1741803.068,271.88
26910,387084.2355,93
26911,875223.2589,156
26912,3854818.839,938
26913,517496.6545,5728
26914,288179.7142,
26915,133904.4778,256.6999998
26916,224057.9646,
26917,336953.7839,
26918,488414.1006,
26919,423000.7312,
26920,3197853.062,4208
26921,218279.6324,
26922,363183.4062,192.1999969
26923,1740305.395,271.46
26924,556554.5717,43
26925,420732.2966,104
26926,3036577.532,6618
26927,111702.2041,240.8999996
26928,230647.345,479
26929,2883049.439,515
26930,3262509.764,61
26931,3569153.351,14428
26932,118962.3261,313
26933,508715.8769,147
26934,441661.318,
26935,2810914.199,13628
26936,1290938.919,3358
26937,2765111.672,118
26938,1087897.755,177.5999985
26939,4130196.173,235
26940,650620.0765,
26941,2951456.265,41
26942,806631.4073,12128
26943,1267763.461,8788
26944,456226.3285,2188
26945,2933445.31,2808
26946,3093532.186,15328
26947,2858608.848,3408
26948,1247098.872,163
26949,283332.7307,
26950,135794.9986,137
26951,4001856.829,248
26952,1133407.299,209445.5
26953,196493.4409,
26954,640995.3512,264.75
26955,188952.3269,270.63
26956,2896238.323,158
26957,491658.3618,292
26958,3297540.984,238.0999985
26959,1171724.639,211728
26960,195656.8037,
26961,359286.1458,4128
26962,640506.2971,
26963,755864.8945,2278
26964,2373005.309,1908
26965,480278.634,1838
26966,1537574.084,266.5999999
26967,218724.0021,270.73
26968,1182431.56,1048
26969,3056770.883,257.3000002
26970,3280111.512,920
26971,3199178.149,1029.5
26972,2891227.475,850
26973,3214561.472,845
26974,3141001.172,1026.200001
26975,1378262.571,25350
26976,2787755.01,676
26977,3340932.343,1037
26978,3732062.502,1030.4
26979,1938786.694,590
26980,3102434.821,610
26981,3123474.946,1049.66
26982,3742573.046,
26983,1879720.033,4370
26984,3260219.877,1009.599998
26985,3073200.691,12950
26986,2918089.301,683
26987,3251771.233,4500
26988,1696256.814,861
26989,269269.5257,10050
26990,2573301.278,111
26991,2124129.888,2840
26992,1817077.327,
26993,2210466.012,14472
26994,3056924.507,
26995,1054228.852,14950
26996,1309215.523,972.8000031
26997,872273.8984,1047.91
26998,3252138.938,535
26999,682834.4808,1046.83
27000,3591288.314,731
27001,1421619.611,882
27002,534244.1099,871
27003,3335861.752,
27004,105732.1749,730
27005,3377243.321,783
27006,690431.9362,755
27007,3710932.571,
27008,2148447.757,460
27009,1404322.403,1042.75
27010,3063670.774,1038.1
27011,2424966.68,2440
27012,3298026.37,1035.8
27013,2229386.211,663
27014,3337339.4,959.3000031
27015,369394.5006,845
27016,2648408.833,828
27017,3581753.271,922
27018,1930799.964,
27019,732782.7769,860
27020,301800.6016,913
27021,3072235.249,
27022,1398671.191,
27023,1487698.498,
27024,998527.5412,3510
27025,2545282.596,
27026,510867.1009,722
27027,252399.7797,917
27028,2696944.965,18550
27029,3245546.581,
27030,1625001.637,3460
27031,3049376.804,1032.6
27032,3355115.08,1013.599998
27033,1372769.505,426
27034,2555321.925,878
27035,673643.0658,89
27036,2325720.468,3180
27037,3969198.12,650
27038,739318.0971,1100
27039,2893446.325,565
27040,3464347.809,4030
27041,3785044.376,
27042,627034.1627,30
27043,3428469.012,667
27044,3192425.05,1017.400002
27045,3570221.487,
27046,2697313.857,3340
27047,2854165.809,1049.48
27048,250613.3805,641
27049,2232763.905,478
27050,3056122.205,4760
27051,668863.2287,1005.799999
27052,3293717.137,
27053,3756975.18,3970
27054,3496513.18,1047.15
27055,4143924.022,450
27056,3127423.116,778
27057,0,0
27058,3341088.93,1006
27059,2186851.759,2730
27060,614049.084,4150
27061,545055.5293,276
27062,3444618.848,3300
27063,2073313.379,1260
27064,945704.0843,973.9000015
27065,3792360.488,
27066,3492650.592,986.2999992
27067,3505073.32,980.0999985
27068,692979.5083,
27069,272284.762,977.6999969
