,origin_id,hydat_id,origin_dist_from_net,hydat_dist_from_net,dist,pos
0,7124,02XA003,326.4220406548268,159.46987616127774,412.96360213910714,On-Down
1,16714,05MG008,202.0922076046057,182.31165846979715,1066.5417775223286,On-Up
2,16715,05MG008,71.5200035609655,182.31165846979715,2771.587732586153,On-Up
3,16713,05MG008,441.4348203705632,182.31165846979715,5896.551800581394,On-Up
4,16713,05MG012,441.4348203705632,166.32247735685922,8947.865257902093,Down
5,16712,05MG008,369.47862140551905,182.31165846979715,7766.204140448299,On-Up
6,15854,01BJ007,39.917322609393146,142.09692499274627,102.38481011309132,On-Down
7,15862,01BE001,215.21403646776992,27.5788656856826,7845.258213197982,Up
8,15853,01BJ003,19.92763076192932,140.26808404191365,630.8352112261009,On-Up
9,15894,01BJ011,38.340719806564316,46.79060104138868,9119.687807290844,Up
10,15897,01BC001,43.528217115470866,9.894169489887583,2490.5508464196832,Down
11,15898,01BA001,64.1509888585128,278.81247347360573,671.5185889052194,On-Up
12,15865,01AD004,117.27103454514099,40.58644822169094,7399.87173577338,Up
13,15870,01AH002,106.45317417927295,31.935117277104766,497.37666982541936,Down
14,15900,01BQ001,84.29862326801312,83.17211184735568,4560.628102347182,Down
15,15904,01AF002,56.18497895742733,330.40497343280424,2383.520127541139,Down
16,15867,01BP001,74.06245681955053,157.10302938898153,102.71766107357568,On-Down
17,10108,01CA005,506.32482312800073,494.2094958938717,164.7487097427992,On-Down
18,15901,01AG002,9.419301882795768,141.48852511616172,1170.3280307647124,Up
19,15907,01AH001,174.89598326228668,70.380384084421,874.6923219259952,On-Up
20,9637,01CA003,12.692333677438139,40.36398224152873,6961.775629245604,Up
21,10361,01CA001,61.23704743124249,15.469214882188545,9400.99061558608,Up
22,9780,01CA001,301.9479730527746,15.469214882188545,3416.4952656596124,On-Up
23,9780,01CA003,301.9479730527746,40.36398224152873,343.6778607684854,On-Up
24,10296,01CA001,178.36819204993662,15.469214882188545,3759.8466735446646,On-Up
25,10296,01CA003,178.36819204993662,40.36398224152873,436.8448850103409,On-Up
26,6619,01CA001,50.46907875705273,15.469214882188545,3790.353851735077,On-Up
27,6619,01CA003,50.46907875705273,40.36398224152873,409.14297752728555,On-Up
28,10131,01CA001,57.51163575415273,15.469214882188545,4541.71142236385,On-Up
29,10131,01CA003,57.51163575415273,40.36398224152873,1181.2804856363769,On-Up
30,10449,01CA001,63.39627377485915,15.469214882188545,4796.301323294366,On-Up
31,10449,01CA003,63.39627377485915,40.36398224152873,1410.0484736667486,On-Up
32,15890,01BO001,132.6706297789487,134.1445378130729,357.133829677096,On-Down
33,9588,01CA002,29.432796964248627,53.409707731327906,1575.535750057641,On-Up
34,15878,01AJ001,103.04924176741592,88.75989410321363,8314.224818617982,Up
35,6642,01CD005,114.32502003958379,118.85241370643998,13.831003578927843,On-Down
36,9765,01CB018,258.36236574670073,186.7028957322087,616.3953065508808,On-Down
