,Station_ID,unique_ind,dist_along,geometry,dist_from
0,02AA001,1249827,2236.0822,POINT (-346222.90274516493 922147.9805485274),31.3037219
1,02AA002,1215212,49.12348044,POINT (-339562.1437699464 928412.1724508668),13.89688949
2,02AB001,1247613,546.1747731,POINT (-339932.41920439864 982589.6769151118),151.1102903
3,02AB002,1247099,11.43634811,POINT (-342597.59158438013 981687.0343029305),198.9380966
4,02AB004,1223238,98.87013127,POINT (-342040.1941461818 999837.4811932271),68.62775606
5,02AB005,1219110,1532.661544,POINT (-354432.2471088981 982254.6624438325),39.60865515
6,02AB006,1219217,235.1546305,POINT (-340586.4553480754 980032.2287355347),40.07156596
7,02AB007,1248635,98.59328605,POINT (-339658.7361252392 961572.9899506095),53.27950077
8,02AB008,1238283,515.1287669,POINT (-320326.494736196 961985.1842196133),1.336245855
9,02AB009,,,POINT (-346834.93213318207 983076.7505257602),
10,02AB010,1240504,49.08899966,POINT (-344154.639785112 967208.4009474814),62.22976968
11,02AB011,1677181,1946.968173,POINT (-374360.98121359287 992302.94306698),4.826761415
12,02AB012,1681364,1148.485959,POINT (-403559.46877417475 993303.6549833535),8.522004255
13,02AB013,1682081,596.2906011,POINT (-400279.3276719917 998540.016144734),31.85060483
14,02AB014,1251877,208.3448443,POINT (-309592.50147605175 976537.4835096354),6.235897533
15,02AB015,1253566,292.6588958,POINT (-313996.1846432144 978671.4003426793),132.3436465
16,02AB016,1217350,176.4147786,POINT (-317005.84428063204 965712.495516438),5.626534836
17,02AB017,1244576,68.4526886,POINT (-358444.001273963 954403.6079283801),2.570007755
18,02AB019,1252190,4343.901343,POINT (-313323.1376523498 968899.6141498245),6.553152415
19,02AB020,1246029,444.6591029,POINT (-320940.9623473422 973143.9242070114),17.7285365
20,02AB021,1239657,585.5289283,POINT (-314144.5417211527 981627.6967819207),26.9894597
21,02AB022,1230033,411.3944118,POINT (-337732.41441968014 968222.3182408381),8.863737493
22,02AB023,1219039,793.2587772,POINT (-328010.2223467159 956040.1281259079),30.24912485
23,02AB024,1234064,1684.32894,POINT (-323690.0205813818 968860.6950973341),18.73489207
24,02AB025,1250735,794.1400849,POINT (-324059.16713841533 958252.0476813685),65.67541193
25,02AC001,1216031,5151.200587,POINT (-260341.75351156137 1007438.5007139707),43.10903359
26,02AC002,1225829,119.1037114,POINT (-248261.11523108557 1016025.3374666752),91.5283047
27,02AD002,2407132,0,POINT (-243675.54000833575 1043238.9590948478),325.1696564
28,02AD006,2407273,705.4894658,POINT (-233702.14215213357 1072498.9751063655),262.191481
29,02AD008,2345386,2093.695441,POINT (-241168.32755883352 1060721.688538649),67.68776801
30,02AD009,2443483,507.2123003,POINT (-226479.77387284045 1208092.0922539344),166.7994526
31,02AD010,2403882,1187.76474,POINT (-214554.62540215952 1091773.8166216256),18.58445618
32,02AD011,2409855,1419.29008,POINT (-199504.1967686049 1109646.3267566697),14.40534906
33,02AD012,2407316,743.2781066,POINT (-245623.45384616678 1040290.1250524712),81.32976238
34,02AE001,2401513,293.942825,POINT (-197710.84469275712 1016125.824818001),19.43811161
35,02BA002,1291797,485.5380403,POINT (-138986.48277389276 997534.8668107683),42.05824606
36,02BA003,1269243,467.8343062,POINT (-118350.61462152227 1004950.5975583186),4.778450141
37,02BA005,79256,160.4571751,POINT (-174477.71038608105 1021048.6544133867),30.23771678
38,02BA006,1266684,357.1833946,POINT (-137022.39816994948 1001490.658689051),2.176798052
39,02BB002,1287392,2057.314874,POINT (-89617.87938534365 986447.9904612298),18.45036891
40,02BB003,1268783,671.1375271,POINT (-95646.19504741201 996074.0944563998),29.95171744
41,02BB004,1272247,1168.765741,POINT (-67083.74191254975 987930.8610450919),38.52020284
42,02BC002,1525704,869.4425587,POINT (-51766.20029994877 983417.3300240875),244.8971638
43,02BC003,1521673,903.954311,POINT (-46800.49178982946 987088.1498877764),27.67975375
44,02BC004,1523740,307.4276996,POINT (-54852.563484087215 982125.6190902251),33.21955276
45,02BC005,714089,200.5720102,POINT (-60236.07299473125 915816.680269481),35.96520573
46,02BC006,375027,426.5726081,POINT (-54681.11249955337 926876.9445178969),50.7410762
47,02BC008,1523268,566.6121772,POINT (-66030.50810542202 974785.5480547553),14.98312164
48,02BD001,2113195,683.1888165,POINT (19450.082320310823 916254.5409907274),113.2105767
49,02BD002,2116263,226.6191942,POINT (19311.19541293228 898693.9216323802),1.385201348
50,02BD003,2113738,1178.280284,POINT (12740.46318898875 901812.3345350418),47.70674328
