,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
100,182405163,S-K1,KERR 1,2018-04-26,00:00:00,,Unfiltered,0.0281,mg/L
101,182405197,S-K5,KERR 5,2018-04-24,13:44:00,,Unfiltered,0.3,mg/L
102,182405232,L-K2,K2,2018-06-21,12:02:00,,Unfiltered,0.0935,mg/L
103,182405261,L-K3,K3,2018-08-16,12:37:00,,Unfiltered,0.0045,mg/L
104,182405265,S-K3,KERR 3,2018-05-30,15:43:00,,Unfiltered,0.0071,mg/L
105,182405280,S-K1,KERR 1,2018-04-30,10:16:00,,Unfiltered,0.0153,mg/L
106,182405328,S-K1,KERR 1,2018-05-02,14:51:00,,Unfiltered,0.0143,mg/L
107,182405346,S-K6,KERR 6,2018-05-02,13:10:00,,Unfiltered,0.0843,mg/L
108,182405355,S-K1,KERR 1,2018-04-24,17:31:00,,Unfiltered,0.0337,mg/L
109,182405363,S-K4,KERR 4,2018-04-24,10:22:00,,Unfiltered,0.0417,mg/L
110,182405403,S-K1,KERR 1,2018-07-04,10:08:00,,Unfiltered,0.0515,mg/L
