,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
19361,311817437,TAY-04,Tay River at Rogers Road (Perth),2003-10-27,,,Unfiltered,0.01,mg/L
19362,311817440,EAG-01,Eagle Creek upstream Bobs Lake,2006-09-05,,,Unfiltered,0.01,mg/L
19363,311817516,KEM-01,Kemptville Creek at Hwy. 43 (Kemptville),2014-10-02,,,Unfiltered,0.01,mg/L
19364,311817596,MUR-01,Murphy Drain at County Road 22,2006-09-06,,,Unfiltered,0.01,mg/L
19365,311817624,ARC-01,Arcand Drain at County Road 19,2009-08-14,,,Unfiltered,0.12,mg/L
19367,311817679,TAY-04,Tay River at Rogers Road (Perth),2004-11-17,,,Unfiltered,0.01,mg/L
19368,311817731,KEM-09,Kemptville Creek at County Road 20,2013-06-13,,,Unfiltered,0.01,mg/L
19370,311817808,BLA-01,Black Creek in Murphys Pt. Prov. Park,2004-06-14,,,Unfiltered,0.01,mg/L
19373,311817866,KEM-07,Kemptville Creek at Oxford Mills,2004-05-13,,,Unfiltered,0.01,mg/L
19374,311817883,KEM-07,Kemptville Creek at Oxford Mills,2011-09-21,,,Unfiltered,0.01,mg/L
19376,311818008,ARC-01,Arcand Drain at County Road 19,2013-07-11,,,Unfiltered,0.08,mg/L
19379,311818048,BRN-03,Barnes Creek at Van Buren Street (Kemptville),2005-06-23,,,Unfiltered,0.09,mg/L
19380,311818093,ROS-01,Rosedale Creek at Hwy. 43,2021-09-22,,,Unfiltered,0.01,mg/L
19385,311818254,MCD-02,McDermott Drain at County Road 19-1,2012-05-28,,,Unfiltered,0.32,mg/L
19386,311818285,FIS-A,Fish Creek upstream Bobs Lake,2012-06-26,,,Unfiltered,0.01,mg/L
19390,311818511,GRT-03,Grants Creek at County Road 10,2020-08-19,,,Unfiltered,0.01,mg/L
19391,311818531,TAY-04,Tay River at Rogers Road (Perth),2021-06-08,,,Unfiltered,0.01,mg/L
19392,311818560,TAY-16,Tay River at Bolingbroke,2004-11-15,,,Unfiltered,0.01,mg/L
19393,311818568,KEM-06,Kemptville Creek at County Road 18 downstream of Oxford Mills,2015-09-23,,,Unfiltered,0.01,mg/L
19394,311818587,ROS-02,Rosedale Creek at Wood Rd,2009-06-02,,,Unfiltered,0.01,mg/L
19396,311818661,BLU-01,Blueberry Creek at Christie Lake Rd,2018-07-18,,,Unfiltered,0.01,mg/L
19397,311818792,GRT-05,Grants Creek downstream of Upper Scotch Line,2013-07-10,,,Unfiltered,0.02,mg/L
19398,311818796,TAY-08,Tay River at Gore Street (Perth),2010-05-06,,,Unfiltered,0.01,mg/L
19399,311818846,KEM-06,Kemptville Creek at County Road 18 downstream of Oxford Mills,2015-06-18,,,Unfiltered,0.01,mg/L
19400,311818939,BRN-03,Barnes Creek at Van Buren Street (Kemptville),2021-07-22,,,Unfiltered,0.16,mg/L
19402,311818981,BRN-03,Barnes Creek at Van Buren Street (Kemptville),2009-10-19,,,Unfiltered,0.06,mg/L
19404,311819080,EAG-01,Eagle Creek upstream Bobs Lake,2007-09-26,,,Unfiltered,0.01,mg/L
19405,311819081,ROS-01,Rosedale Creek at Hwy. 43,2007-06-28,,,Unfiltered,0.01,mg/L
19408,311819161,KEM-06,Kemptville Creek at County Road 18 downstream of Oxford Mills,2009-08-14,,,Unfiltered,0.01,mg/L
19409,311819251,GRT-01,Grants Creek at Glen Tay Road,2016-06-16,,,Unfiltered,0.01,mg/L
19415,311819415,RUD-01,Ruddsdale Creek at Christie Lake Road,2006-09-07,,,Unfiltered,0.03,mg/L
19416,311819427,TAY-04,Tay River at Rogers Road (Perth),2020-07-20,,,Unfiltered,0.01,mg/L
19419,311819507,GRT-01,Grants Creek at Glen Tay Road,2016-11-15,,,Unfiltered,0.01,mg/L
19420,311819517,FIS-03,Fish Creek at County Road 38,2006-08-15,,,Unfiltered,0.01,mg/L
19421,311819659,KEM-06,Kemptville Creek at County Road 18 downstream of Oxford Mills,2006-10-25,,,Unfiltered,0.01,mg/L
19422,311819663,GRT-04,Grants Creek at Pike Lake Dam,2006-04-28,,,Unfiltered,0.01,mg/L
19423,311819681,FIS-03,Fish Creek at County Road 38,2012-08-22,,,Unfiltered,0.02,mg/L
19425,311819782,KEM-14,Kemptville Creek at Kyle Road,2008-06-05,,,Unfiltered,0.01,mg/L
19426,311819798,JEB-01,Jebbs Creek at County Road 1,2008-07-08,,,Unfiltered,0.01,mg/L
19427,311819811,EAG-01,Eagle Creek upstream Bobs Lake,2014-08-12,,,Unfiltered,0.01,mg/L
19428,311819817,FIS-A,Fish Creek upstream Bobs Lake,2008-06-03,,,Unfiltered,0.01,mg/L
19429,311820046,BLU-01,Blueberry Creek at Christie Lake Rd,2013-07-10,,,Unfiltered,0.01,mg/L
19430,311820072,WES-01,Westport Dam,2010-05-07,,,Unfiltered,0.01,mg/L
19432,311820099,GRT-02,Grants Creek at Upper Scotch Line,2021-09-23,,,Unfiltered,0.02,mg/L
19433,311820101,HUT-02,Hutton Creek at Townline Road,2007-05-31,,,Unfiltered,0.01,mg/L
19435,311820213,NKE-06,North Kemptville Creek at County Road 15 downstream of Cranberry Lake,2004-08-19,,,Unfiltered,0.01,mg/L
19437,311820317,HUT-02,Hutton Creek at Townline Road,2014-05-29,,,Unfiltered,0.01,mg/L
19438,311820331,UEN-01,Uens Creek at Babcock Road upstream of Long Lake,2006-10-26,,,Unfiltered,0.01,mg/L
19440,311820371,KEM-16,Kemptville Creek upstream N. Augusta,2008-06-05,,,Unfiltered,0.01,mg/L
19441,311820403,BAR-01,Barbers Creek at County Road 16,2003-06-30,,,Unfiltered,0.15,mg/L
19442,311820431,COC-02,Cockburn Creek at Hwy. 43,2015-11-25,,,Unfiltered,0.01,mg/L
