,origin_id,hydat_id,origin_dist_from_net,hydat_dist_from_net,dist,pos,data_overlap,total_hydat_records,total_origin_records
0,224712,08EE027,106.78949926434073,0.07420990300679535,2711.0256489383605,Up,0,150,2
1,224712,08EE002,106.78949926434073,44.285536097382504,8008.577652471515,Up,0,176,2
2,224810,08EE002,213.60555715262075,44.285536097382504,2325.763029871682,On-Up,0,176,1
3,224810,08EE004,213.60555715262075,15.41235108544372,9509.449639043687,Up,1,31498,1
4,224742,08FF002,62.031686368935326,58.99099258902078,2665.9379561049736,On-Up,14,19978,14
5,224742,08FF001,62.031686368935326,239.6231187958144,8752.853793320946,Down,14,20729,14
6,224666,08JC001,20.18583960744671,385.0900968551839,441.151200825735,On-Down,7,25497,7
7,224666,08JC006,20.18583960744671,124.00570401218931,223.75873630118613,On-Up,0,3820,7
8,224666,08JC008,20.18583960744671,15.308456031530577,5566.709138368475,Up,0,2768,7
9,224762,08KE014,784.364859252338,88.98772296371392,8823.228332662362,Down,0,6190,1
10,224685,08KE037,112.32383184141415,444.97306814265716,5133.432283942084,On-Up,0,115,2
11,224679,08KH027,636.5833189185632,199.49391688807762,6772.772990857604,Down,0,365,83
12,224807,08KH027,1387.555035495479,199.49391688807762,8253.474370781467,Down,0,365,6
13,224686,08MC045,43.976448172409604,92.15455595115053,3780.3390785777883,On-Up,4,8514,4
14,224686,08MC032,43.976448172409604,9.953472264494549,4424.916201290818,Down,0,3310,4
15,224673,08MC003,1248.3415611350608,230.9013993457427,1479.6831487040952,On-Up,0,2270,3
16,224673,08MC012,1248.3415611350608,230.01831578092396,4975.376685423527,Down,0,1965,3
17,224702,08MC005,36.66166837919222,80.75929832392991,689.1696192067361,On-Up,2,10632,2
18,224702,08MC033,36.66166837919222,1337.267693543432,3455.6362378863705,Up,0,1241,2
19,224702,08MC029,36.66166837919222,1123.1102977654864,3678.033524061863,Up,0,460,2
20,224702,08MC031,36.66166837919222,969.2893148744782,7818.569240880956,Up,0,2621,2
21,224758,08MC031,108.83166381728523,969.2893148744782,3625.77973393133,Down,0,2621,1
22,224758,08MC029,108.83166381728523,1123.1102977654864,7896.567736195601,Down,0,460,1
23,224758,08MC033,108.83166381728523,1337.267693543432,8409.189252961454,Down,0,1241,1
24,224758,08MC027,108.83166381728523,0.5650987133305789,10229.964709974964,Up,0,1778,1
25,224758,08MC005,108.83166381728523,80.75929832392991,10755.17935560555,Down,1,10632,1
26,224758,08MC039,108.83166381728523,386.864127441935,5355.709530408423,Up,1,9774,1
27,224758,08MC042,108.83166381728523,507.38831446271337,6124.04139721223,Up,0,537,1
28,224758,08MC049,108.83166381728523,9.243304399351238,6297.789125606207,Up,0,822,1
29,224758,08MC002,108.83166381728523,410.3096793339407,8366.36087159932,Up,0,637,1
30,224758,08MC001,108.83166381728523,230.99416833980627,8046.108284156189,Up,0,398,1
31,224758,08MC037,108.83166381728523,199.49182212719492,8577.999773691594,Up,0,312,1
32,224726,08MC031,141.99104626587518,969.2893148744782,4000.7735221260245,Down,0,2621,6
33,224726,08MC029,141.99104626587518,1123.1102977654864,8271.561524390296,Down,0,460,6
34,224726,08MC033,141.99104626587518,1337.267693543432,8784.18304115615,Down,0,1241,6
35,224726,08MC040,141.99104626587518,134.12724286071352,2788.6368139354745,Up,1,10439,6
36,224726,08MC005,141.99104626587518,80.75929832392991,11130.173143800246,Down,0,10632,6
37,224726,08MC019,141.99104626587518,241.4074848435106,11592.039647481017,Up,0,201,6
38,224719,08MC008,352.57549058173754,15.86754630382092,5253.411416402547,Down,0,636,1
39,224682,08MA002,97.61157755892769,90.54265071137985,2453.563211280816,On-Up,2,30434,2
40,224794,08MA003,70.57020452589794,130.33480614785782,61.543988390119715,On-Up,22,14547,22
41,224691,08MD034,39.23770885718316,16.27490398393262,6348.3712709708,Down,0,1018,1
42,224660,08LF065,82.73742640265431,0.0814916396757466,933.4332305597562,On-Up,0,1085,11
43,224660,08LF071,82.73742640265431,32.54240448472577,8884.21442469034,Down,11,6028,11
44,224660,08LF066,82.73742640265431,82.42359385279299,8889.298380782466,Down,11,5933,11
45,224795,08LF091,96.67208241766164,939.6431714528234,3296.1599367335434,Up,0,2309,10
46,224663,08ND001,387.14241116497595,544.4702415097569,160.67285776977403,On-Down,0,3746,44
47,224695,08LC021,462.7341000127897,828.9086449851468,3034.6899042448003,Up,0,1182,28
48,224695,08LC028,462.7341000127897,870.5592971760888,10653.274954300721,Up,0,157,28
49,224695,08LC029,462.7341000127897,0.08492367313552954,11036.352348821445,Up,0,118,28
50,224695,08LC025,462.7341000127897,273.73817526687884,8077.001877415583,Up,0,1028,28
51,224695,08LC026,462.7341000127897,132.0587829582055,6139.394493609576,Up,0,1043,28
52,224716,08LC019,69.56845909258729,88.79297509646061,11554.285480582881,Up,0,13277,1
53,224731,08HF001,145.30774683062603,694.5213215351844,2520.542538739769,Up,0,4804,4
54,224731,08HF003,145.30774683062603,0.43211026279910175,6724.663285276818,Up,0,4526,4
55,224760,08NA024,215.1492074638105,108.1151286968803,6554.736999378364,Up,0,10929,36
56,224760,08NA043,215.1492074638105,1311.6683021458791,2114.7431850892426,Up,0,187,36
57,224773,08NK021,7.258336256699502,133.48265577699988,7792.369015345588,Down,0,8588,8
58,224773,08NK025,7.258336256699502,116.76035079102539,7818.406222862067,Down,0,365,8
59,224756,08NM065,310.1757651058271,132.49919551059511,805.5314449623958,On-Down,37,23212,37
60,224756,08NM021,310.1757651058271,76.88236682502202,3506.840658995225,Down,0,2632,37
61,224756,08NM179,310.1757651058271,77.0342358531305,1418.8453302010917,Up,15,4202,37
62,224756,08NM154,310.1757651058271,77.00077203570615,1814.7969806129754,Up,0,504,37
63,224756,08NM160,310.1757651058271,99.78368958131163,6380.78834386233,Down,24,7512,37
64,224770,08LC017,230.5844552593197,116.62516288492473,888.3644360066039,On-Up,0,51,36
65,224790,08NM138,14.051074433690996,0.43567937736510864,1312.7867724591556,On-Up,0,10177,3
66,224790,08NM139,14.051074433690996,45.93885306975715,2948.372171899962,On-Up,0,5795,3
67,224790,08NM165,14.051074433690996,416.6164775000694,8317.57273347491,Down,0,9372,3
68,224817,08HD003,16.72498874114994,69.7339678030437,2276.3343635385104,On-Down,1,18117,1
69,224817,08HD005,16.72498874114994,149.48195545699883,1205.4114876757592,On-Down,1,23894,1
70,224817,08HDX03,16.72498874114994,11.26386723428951,3036.8621757079654,Down,0,1662,1
71,224745,08NM198,258.16989278599436,149.83895266949344,121.38632078035843,On-Up,0,1110,1
72,224677,08NK019,71.97118383287221,46.72340397527078,4716.987811406138,Down,0,10694,1
73,224766,08NJ009,172.04621056087544,190.94471945869557,103.00795361242665,On-Down,0,9039,4
74,224766,08NJ036,172.04621056087544,708.7136079665406,1025.0725116845174,On-Up,0,1651,4
75,224766,08NJ037,172.04621056087544,658.1793886633517,981.8657018280055,On-Up,0,89,4
76,224766,08NJ046,172.04621056087544,674.8482900349559,1188.1520665310777,On-Up,0,750,4
77,224766,08NJ048,172.04621056087544,506.57197518332924,884.697867190597,On-Up,0,656,4
78,224766,08NJ060,172.04621056087544,523.4781077409934,1236.896225683395,On-Up,0,373,4
79,224766,08NJ107,172.04621056087544,461.3999881255758,760.8613061561053,On-Down,0,372,4
80,224766,08NJ124,172.04621056087544,592.2390405474431,1721.806075546773,On-Up,0,122,4
81,224766,08NJ153,172.04621056087544,545.8870082613853,893.7987900201445,On-Down,0,1458,4
82,224766,08NJ155,172.04621056087544,624.3295724396074,993.7231785774478,On-Up,0,753,4
83,224766,08NJ156,172.04621056087544,574.0301178549524,928.371177673402,On-Up,0,754,4
84,224779,08NJ009,215.6102984998306,190.94471945869557,1966.6416145901908,On-Up,0,9039,4
85,224779,08NJ036,215.6102984998306,708.7136079665406,2540.0729999139817,On-Up,0,1651,4
86,224779,08NJ037,215.6102984998306,658.1793886633517,2524.1682820321007,On-Up,0,89,4
87,224779,08NJ046,215.6102984998306,674.8482900349559,2805.5980287683446,On-Up,0,750,4
88,224779,08NJ048,215.6102984998306,506.57197518332924,2521.125438412875,On-Up,0,656,4
89,224779,08NJ060,215.6102984998306,523.4781077409934,2950.4587765570545,On-Up,0,373,4
90,224779,08NJ107,215.6102984998306,461.3999881255758,2191.8184786406496,On-Up,0,372,4
91,224779,08NJ124,215.6102984998306,592.2390405474431,3508.9318309363816,On-Up,0,122,4
92,224779,08NJ153,215.6102984998306,545.8870082613853,2129.816574634734,On-Up,0,1458,4
93,224779,08NJ155,215.6102984998306,624.3295724396074,2575.3907540159416,On-Up,0,753,4
94,224779,08NJ156,215.6102984998306,574.0301178549524,2524.7736025189897,On-Up,0,754,4
95,224697,08NJ009,224.62134623058625,190.94471945869557,2081.1052220387287,On-Up,0,9039,1
96,224697,08NJ036,224.62134623058625,708.7136079665406,2605.098794165046,On-Up,0,1651,1
97,224697,08NJ037,224.62134623058625,658.1793886633517,2591.801117088182,On-Up,0,89,1
98,224697,08NJ046,224.62134623058625,674.8482900349559,2875.0416365094034,On-Up,0,750,1
99,224697,08NJ048,224.62134623058625,506.57197518332924,2596.865072663275,On-Up,0,656,1
100,224697,08NJ060,224.62134623058625,523.4781077409934,3027.953505739293,On-Up,0,373,1
101,224697,08NJ107,224.62134623058625,461.3999881255758,2259.744300671942,On-Up,0,372,1
102,224697,08NJ124,224.62134623058625,592.2390405474431,3591.9561795634804,On-Up,0,122,1
103,224697,08NJ153,224.62134623058625,545.8870082613853,2185.664866349075,On-Up,0,1458,1
104,224697,08NJ155,224.62134623058625,624.3295724396074,2645.351816110443,On-Up,0,753,1
105,224697,08NJ156,224.62134623058625,574.0301178549524,2596.968098381213,On-Up,0,754,1
106,224741,08NL007,666.9093434140112,197.32315484930606,7887.59415604665,Down,30,29824,30
107,224741,08NL012,666.9093434140112,108.27189194398122,11634.28972923135,Down,0,5581,30
108,224696,08NL009,97.28897292183771,50.272295687553786,4573.979860380985,On-Up,0,164,5
109,224696,08NL050,97.28897292183771,106.97303405380357,529.4536927794551,On-Up,3,17256,5
110,224738,08NG011,507.5898831511642,90.87614775884381,735.400391269577,On-Up,0,3947,8
111,224811,08NM005,79.85888873177001,139.5202799652384,134.8324212926094,On-Down,0,1098,2
112,224811,08NM002,79.85888873177001,241.9330610230986,10915.663411650678,Down,2,38114,2
113,224811,08NM149,79.85888873177001,454.7326239239523,11421.954640722674,Down,0,2305,2
114,224791,08NJ102,121.96323723070637,597.1853184452523,4832.028702794738,Up,0,764,25
115,224791,08NJ031,121.96323723070637,507.7591066041201,5448.3995350706455,Up,0,894,25
116,224791,08NJ030,121.96323723070637,592.5766178000687,5540.414029752225,Up,0,392,25
117,224791,08NJ041,121.96323723070637,507.55387292312344,7105.990625861436,Up,0,794,25
118,224791,08NJ039,121.96323723070637,1193.920480097431,10017.009875168564,Up,0,799,25
119,224791,08NJ040,121.96323723070637,485.01851197767576,10017.009875168564,Up,0,13,25
120,224791,08NJ149,121.96323723070637,77.42736787131732,11885.052194239675,Up,0,537,25
121,224791,08NJ151,121.96323723070637,201.3460671536934,5931.193279191213,Up,0,281,25
122,224791,08NJ150,121.96323723070637,219.8389227265643,4599.344061291466,Up,0,280,25
123,224681,08MH070,228.54686195026,84.68590443610809,7055.269924963273,Up,0,1064,17
124,224724,08MH024,29.41085101181967,96.31363049066347,10076.594963057327,Down,6,11253,35
125,224724,08MH077,29.41085101181967,152.04241781280427,3397.590969804912,Up,0,1090,35
126,224724,08MH045,29.41085101181967,305.56440833710064,4990.118727994988,Up,0,818,35
127,224724,08MH095,29.41085101181967,192.78989019406475,5743.020562291752,Up,0,1090,35
128,224747,08MH018,574.3496640311777,152.89203945876253,5796.450837186102,On-Up,0,9855,11
129,224747,08MH019,574.3496640311777,68.46187877968917,5077.648525549975,On-Up,0,892,11
130,224747,08MH020,574.3496640311777,255.2019215469507,2270.4005214181984,On-Up,0,10222,11
131,224747,08MH154,574.3496640311777,201.44937147466092,3930.2940323129524,On-Up,0,5009,11
132,224709,08NE017,250.86371265068345,139.17816604055105,635.9840317335918,On-Down,0,135,4
133,224709,08NE053,250.86371265068345,16.8056457026136,8177.854036932287,Up,0,205,4
134,224709,08NE054,250.86371265068345,169.84529671897593,8115.347831858372,Up,0,203,4
135,224676,08NL076,49.24730684496798,32.00677274648106,178.33977962365927,On-Up,2,8401,2
136,224676,08NL004,49.24730684496798,70.39982139136102,9334.310666947516,Down,2,28052,2
137,224798,08NE003,16.71006265627164,15.709109225447802,170.12911367167385,On-Down,0,8932,6
138,224798,08NE024,16.71006265627164,884.0956481885881,1155.0773127214543,On-Up,0,524,6
139,224798,08NE080,16.71006265627164,46.063012927777045,9576.663442784115,Up,0,61,6
140,224798,08NE061,16.71006265627164,599.1107893835482,6344.253912375683,Up,0,631,6
141,224798,08NE049,16.71006265627164,224.23301695751056,11097.927995640526,Up,6,30408,6
142,224798,08NE033,16.71006265627164,289.3259884070478,5996.3113339985175,Up,0,326,6
143,224798,08NE111,16.71006265627164,1308.9649616043416,11511.105448607286,Up,0,377,6
144,224798,08NE118,16.71006265627164,136.20503927487292,3938.189793288793,Up,0,2656,6
145,224798,08NE060,16.71006265627164,425.60033693034137,8012.982831544165,Up,0,132,6
146,224708,08NN001,32.980007366115714,85.03760579646074,2402.1175138942817,On-Up,12,6816,39
147,224708,08NN011,32.980007366115714,15.258639450818222,8886.348704830638,Down,3,2879,39
148,224708,08NN013,32.980007366115714,34.126670096073624,11557.61464400882,Down,39,32968,39
149,224671,08MH068,696.7392108273782,288.84811195617414,1622.149443407063,On-Down,0,1138,15
150,224740,08MH079,22.120640091829376,1062.370116516249,2944.537357170576,Down,0,818,1
151,224740,08MH080,22.120640091829376,220.745763620459,5410.837229441862,Up,0,889,1
152,224740,08MH029,22.120640091829376,89.29436127646167,5207.475971749105,Up,1,24006,1
153,224775,08MH153,907.7660266043015,58.49782296332477,3154.638238703415,Down,33,12849,33
154,224714,08NH006,286.0744339191224,112.43161449063226,586.6028155173641,On-Down,147,32898,147
155,224714,08NH059,286.0744339191224,298.41250094641094,7046.789568523485,Up,0,292,147
156,224714,08NH058,286.0744339191224,926.75258389705,11019.998796397156,Up,0,292,147
157,224812,08MH156,1308.092953778377,904.9694143468927,1325.977431337076,On-Down,1,6755,2
