,origin_id,hydat_id,origin_dist_from_net,hydat_dist_from_net,dist,pos,data_overlap,total_hydat_records,total_origin_records
0,219294,08DB009,65.56663789138197,75.69597021146139,451.8791042356217,On-Down,0,152,6
1,219294,08DB010,65.56663789138197,226.21909146091696,5579.968488884988,Down,0,6972,6
2,219346,08EB006,992.2043927837028,317.3387951266025,901.7203453952524,On-Down,3,3978,3
3,219305,08EE027,653.2804992031151,0.07420990300679535,2791.332925535796,Down,0,150,2
4,219301,08EE008,0.6600755225700756,26.35038134305469,138.32421150954298,On-Up,5,21756,11
5,219195,08EE020,842.7589508541355,122.20909228447096,5724.908013065199,Up,1,16859,1
6,219297,08EE008,3.665044008375599,26.35038134305469,3799.609138599197,Down,1,21756,1
7,219266,08JE001,45.88505213093707,1.06598955906871,1897.156246563965,Down,52,32149,52
8,219299,08KE018,29.92737057951566,31.074324687231165,3123.167141721674,Up,0,366,2
9,219299,08KE001,29.92737057951566,689.5071359524717,5878.670383685245,Up,0,783,2
10,219275,08JC015,285.1761431879685,125.2097434864666,1739.6261362558525,Down,1,652,30
11,219302,08KH002,263.4618819792178,84.03591783845879,10296.375909365548,Down,0,204,1
12,219335,08KH027,969.6601510903448,199.49391688807762,1489.7302450487318,On-Up,0,365,229
13,219187,08KH027,140.34759351498641,199.49391688807762,7087.581433245639,Up,0,365,63
14,219250,08KE008,408.2122508240006,80.27317527738037,2049.471056562157,On-Down,0,607,39
15,219288,08KH010,240.9607420941587,199.7711156694773,488.0936987544818,On-Down,1,21849,1
16,219288,08KH020,240.9607420941587,46.489303582490756,5376.305149728365,Up,1,20865,1
17,219190,08LE028,73.06431311892686,165.15658771582613,1417.8239355945477,On-Down,0,677,8
18,219322,08LE106,69.03775994497197,185.27477816429618,1953.779915945686,Up,11,2440,40
19,219261,08NE001,388.1478128600877,16.364963202397256,11878.551870128684,Up,0,16604,26
20,219261,08NE008,388.1478128600877,56.20317085544869,7885.275319721039,Up,26,24301,26
21,219246,08LC021,576.9991714547789,828.9086449851468,5771.663895020047,Up,0,1182,1
22,219246,08LC025,576.9991714547789,273.73817526687884,11042.698185552583,Up,0,1028,1
23,219246,08LC026,576.9991714547789,132.0587829582055,9105.090801746574,Up,0,1043,1
24,219315,08NA052,1.8796428125634714,49.79343736192723,5627.371128606171,Down,0,2314,45
25,219315,08NA050,1.8796428125634714,0.15230189074744355,3368.015393184871,Up,0,428,45
26,219315,08NA039,1.8796428125634714,77.38808528591724,9452.902500567598,Up,0,2028,45
27,219326,08LE046,386.8848415193358,77.16480742071035,469.17250598978467,On-Up,0,296,37
28,219213,08LE064,13.948963421307315,46.84732864550565,5587.322525767547,On-Down,0,2237,75
29,219213,08LE020,13.948963421307315,71.66093292573854,3981.6716041753643,Up,75,26462,75
30,219213,08LE001,13.948963421307315,108.14429798270737,4433.564261968423,Up,0,2970,75
31,219213,08LE094,13.948963421307315,115.91319289682014,5580.613195594577,Up,0,4275,75
32,219213,08LE038,13.948963421307315,49.943755806721065,10687.34549051011,Up,0,170,75
33,219213,08LE023,13.948963421307315,415.072588842362,1958.4668077073643,Up,0,274,75
34,219276,08NH124,169.8713874953905,29.859050020774884,2012.8687919809709,On-Up,0,2254,18
35,219276,08NH125,169.8713874953905,89.19615969864822,1079.9107867284206,On-Up,0,2259,18
36,219276,08NH128,169.8713874953905,29.868287757549265,587.3840973542564,On-Up,0,1945,18
37,219202,08NM160,250.00311941746352,99.78368958131163,6238.0062408167705,On-Up,14,7512,22
38,219202,08NM123,250.00311941746352,148.4951507949946,10709.629135268342,Up,3,5483,22
39,219202,08NM021,250.00311941746352,76.88236682502202,9111.953925683876,Up,0,2632,22
40,219202,08NM065,250.00311941746352,132.49919551059511,11832.90619541407,Up,22,23212,22
41,219257,08LG017,62.10218932792875,9.424189037929596,2566.6829700954536,On-Up,0,2449,3
42,219283,08LC033,227.87797944124233,76.98045964896596,13260.522715290997,On-Up,0,1620,37
43,219283,08LC046,227.87797944124233,15.20698140496783,5954.354433898421,On-Up,0,158,37
44,219283,08LC042,227.87797944124233,26.47534789574031,4361.53314483291,Down,37,17805,37
45,219333,08NM009,312.426292069691,49.17219609786056,1229.4567979230385,On-Up,0,7086,1
46,219333,08NM181,312.426292069691,149.153687624138,1163.7319254629701,On-Up,0,663,1
47,219333,08NM235,312.426292069691,1049.9657776889758,2566.086874428681,On-Down,0,2352,1
48,219333,08NM146,312.426292069691,83.45496514569356,11285.829375092813,Up,0,8062,1
49,219333,08NM043,312.426292069691,77.30608544942535,7986.482277696633,Up,0,1625,1
50,219333,08NM044,312.426292069691,77.30708532455549,8025.755705681969,Up,0,1931,1
51,219333,08NM175,312.426292069691,117.18246647068625,9335.722151460315,Up,0,2709,1
52,219333,08NM008,312.426292069691,69.9094755936761,4643.627802244182,Up,0,58,1
53,219333,08NM182,312.426292069691,29.453811661982815,5106.9090317919145,Up,0,1113,1
54,219333,08NM162,312.426292069691,1164.8894621694594,6353.906288783897,Up,0,1309,1
55,219318,08NM026,37.10472470537524,117.12910853064994,7988.537702138487,On-Up,0,413,25
56,219318,08NM061,37.10472470537524,83.57397429918583,7251.714067341307,On-Up,0,1127,25
57,219318,08NM117,37.10472470537524,169.09227952529227,1328.126434321153,Down,7,2778,25
58,219318,08NM053,37.10472470537524,284.32058967142353,5022.69041035181,Down,20,13710,25
59,219188,08NM003,1056.81663729653,77.51195846397503,8618.426957428279,Up,0,2909,12
60,219188,08NM152,1056.81663729653,922.2655679688645,4895.902406403635,Up,1,1821,12
61,219347,08NM152,185.16271786872912,922.2655679688645,3384.1520734195437,On-Down,0,1821,45
62,219348,08NM053,493.12396637516906,284.32058967142353,2900.123991566623,Up,0,13710,2
63,219348,08NM117,493.12396637516906,169.09227952529227,6606.053018172914,Up,0,2778,2
64,219348,08NM116,493.12396637516906,133.12846664445212,2339.2690203141037,Up,2,22904,2
65,219348,08NM057,493.12396637516906,299.4714151404938,3983.7238804872613,Up,0,1272,2
66,219348,08NM016,493.12396637516906,15.052317772327724,10939.683285053863,Up,0,4401,2
67,219348,08NM010,493.12396637516906,108.77321371626275,11530.470948280003,Up,0,2469,2
68,219348,08NM060,493.12396637516906,390.0223833105871,8977.577365799994,Up,0,1297,2
69,219348,08NM039,493.12396637516906,1075.172520527852,9394.159993418849,Up,0,1931,2
70,219348,08NM040,493.12396637516906,186.55861497772037,10407.755688333604,Up,0,1654,2
71,219348,08NM226,493.12396637516906,33.4193758172466,11498.676259948861,Up,0,2438,2
72,219348,08NM004,493.12396637516906,0.02247140489587001,11696.543453865406,Up,0,457,2
73,219244,08GA014,176.35253573523417,66.64648444365517,113.65700786115015,On-Up,0,814,37
74,219244,08GA043,176.35253573523417,144.4105465934922,2147.7889701341605,Up,36,22625,37
75,219244,08GA040,176.35253573523417,49.743648158902516,9314.361365910429,Up,0,787,37
76,219244,08GA039,176.35253573523417,252.34980234878606,1085.4073963822807,Up,0,701,37
77,219278,08HB007,317.41299927350326,91.68305395510944,5112.237759729864,Down,0,14343,2
78,219278,08HB084,317.41299927350326,117.89588006131928,5795.97936822814,Down,0,10349,2
79,219278,08HB006,317.41299927350326,19.621573881155374,11731.155388302703,Down,2,23868,2
80,219313,08NG088,64.68927814061892,76.62239547498702,1292.3744197089059,On-Down,0,919,94
81,219313,08NG012,64.68927814061892,0.17821660290161112,11254.98894552829,Down,91,18486,94
82,219208,08MF067,46.70113290424733,139.11751827899454,2462.4484484072623,Up,0,687,10
83,219208,08MF003,46.70113290424733,406.6233197796035,1477.3847387428655,Up,9,13034,10
84,219208,08MF068,46.70113290424733,32.18789461306345,4161.398058611527,Up,0,11464,10
85,219303,08MF052,3.646954114925776,253.60090720544184,2169.735430723012,Down,0,521,4
86,219303,08MF035,3.646954114925776,299.6699760391367,10801.588253330707,Down,0,7499,4
87,219204,08MH011,20.357635201886218,34.48454886442119,1532.039650199949,Down,0,2789,1
88,219211,08MH076,853.5674074749098,124.31085245287133,5495.931702478043,Up,1,21871,1
89,219211,08MH099,853.5674074749098,71.1555479038193,11957.463824174623,Up,0,1601,1
90,219211,08MH098,853.5674074749098,45.19788424159859,8761.737220344345,Up,1,20300,1
91,219211,08MH089,853.5674074749098,139.16402794344592,7736.386755383537,Up,0,1115,1
92,219211,08MH090,853.5674074749098,23.667567630219576,9512.46998646917,Up,1,20490,1
93,219345,08MH091,927.5383201084155,119.31461390823057,2022.6155348039795,On-Up,0,12771,3
94,219212,08MH024,368.0491096237461,96.31363049066347,7970.378284982551,Down,0,11253,5
95,219267,08MH050,236.64815595375106,119.42291965526093,3061.8157751427198,Up,0,4134,10
96,219267,08MH104,236.64815595375106,572.7763829700098,3756.3433263091606,Up,0,8128,10
97,219267,08MH155,236.64815595375106,247.38315100545125,5408.875970371929,Up,10,13121,10
98,219267,08MH105,236.64815595375106,294.6423356732481,6466.55529959344,Up,0,7155,10
